Nº;CONTRATO;EMPRESA;DATA DE ASSINATURA/ INÍCIO DA VIGÊNCIA;OBJETO;DATA DO TÉRMINO DA VIGÊNCIA;VALOR (R$);EXECUTORES E SUPLENTES;OBS
23;08/2019;P&P TURISMO LTDA;21/03/2019;FORNECIMENTO DE PASSAGENS AÉREAS NACIONAIS;20/03/2020;Valor global: R$ 25.000,25;THAYANE DAS NEVES SOARES/ JESSIKA DE SOUZA SANTOS VASCONCELOS.;VIGENTE
24;12/2019;FUNAP;08/05/2019;FORNECIMENTO DE MÃO DE OBRA DE REEDUCANDO EM REGIME SEMIABERTO.;08/05/2020;Valor Mensal: R$: 16.603,40 Valor Total: R$: 199.240,80;LUCRÉCIA DE CARVALHO SILVA/ ADALCI AZEVEDO VALENTIM.;VIGENTE
25;13/2019;P&P TURISMO LTDA;09/05/2019;FORNECIMENTO DE PASSAGENS AÉREAS INTERNACIONAIS;08/05/2020;Valor Total: R$: 20.000,00;THAYANE DAS NEVES SOARES/ JESSIKA DE SOUZA SANTOS VASCONCELOS;VIGENTE
26;14/2019;ZÊNITE INFORMAÇÃO E CONSULTORIA;25/06/2019;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM FORNECIMENTO DE PERIÓDICOS ELETRÔNICOS PARA ATENDER AS NECESSIDADES DO SLU/DF;25/06/2020;Valor Total: R$: 14.220,00;NEIDE APARECIDA BARROS DA SILVA / GISÉLIA ARAÚJO DOS SANTOS;VIGENTE
27;17/2019;NP CAPACITAÇÃO E SOLUÇÕES TECNOLÓGICAS LTDA;01/07/2019;BANCO DE PREÇOS;01/07/2020;Valor Total: R$: 7.990,00;MARIA DE FÁTIMA DO NASCIMENTO DIAS/ LUCINEIDE MARIA DOS SANTOS BASTOS;VIGENTE
28;20/2019;EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS - ECT;10/06/2019;FORNECIMENTO DE SERVIÇO DE VENDAS DE PRODUTOS DE CORREIOS;10/06/2020;GLOBAL: R$: 19.200,00;PAULO SERGIO RIBEIRO/ ROGER FRAGOSO SOUZA;VIGENTE
29;21/2019;BALANÇAS VARGAS;23/08/2019;FORNECIMENTO DE BALANÇAS RODOVIÁRIAS;22/08/2020;GLOBAL: R$: 505.000,00;FRANCISCO SOARES FILHO/ CÍCERO CARLOS GOMES DE LACERDA;VIGENTE
30;25/2019;COMBUSTÍVEIS GOLDI;09/12/2019;ABASTECIMENTO DE VEÍCULOS;08/12/2020;MENSAL: R$ 46.488,00 ANUAL: R$ 557.856,00;NATÁLIA TEIXEIRA GONÇALVES/ VITALIA DE OLIVEIRA MORAIS;VIGENTE
31;01/2015;OI S.A.;02/02/2015;CHAMADAS LOCAIS DE TELEFONIA FIXO MÓVEL;18/03/2020;ANUAL: R$ 213.540,43;FERNANDO SABINO AMORIM/ ANTÔNIO JOSÉ CORREA;VIGENTE
32;18/2014;CONNECTA;13/10/2014;LOCAÇÃO DE VEÍCULOS;13/10/2019;MENSAL: R $ 51.562,02 ANUAL: R$ 618.744,24;LUCRÉCIA DE CARVALHO SILVA/ ADALCI AZEVEDO VALENTIM;VENCIDO
