Nº;SEDE;NÚCLEO;RA;ENDEREÇO;PROPRIEDADE;SITUAÇÃO;ÁREA TOTAL;ÁREA CONSTRUÍDA
;;;;;;;M²;M²
9;GEOES;NUSEB;São Sebastião;Quadra 305, Conj. 14 Lote 02, Bairro Residencial Oeste;Terracap;Processo Regularização 094.000943/2011;-;-
10;;NUGUA;Guará;Área Especial do CAVE- Adm. Regional do Guará;Administração Regional do Guará;Empréstimo;-;-
11;;NUBAN;Núcleo Bandeirante;Praça Padre Roque, 3ª Avenida, Projeção 2;Administração Regional do Núcleo Bandeirante;Empréstimo;-;-
12;;NUPAR;Paranoá/Itapoã;"Quadra 05 Área Especial ""D"" Lotes 01 e 02";Terracap;Cedido;4.105;-
13;;NUBSB;Asa Sul;Avenida das Nações S/N;Próprio;Regularizado;116.469;9.737
14;GELES;NUGAM;Gama;AV. Contorno A/E 2 Setor Norte -Gama;Próprio;Regularizado;80.000;-
15;;NURIF;Riacho Fundo I;QN. 09, Área Especial 03, Lote 06 – Adm. Riacho Fundo;Administração Regional do Riacho Fundo I;Empréstimo;-;-
16;;NUSAM;Samambaia;Área Especial, s/nº QS 302 - Centro Urbano - Samambaia Sul;Administração Regional de Samambaia;Empréstimo;-;-
17;;NUMAR;Santa Maria;"CL 408, Bloco ""A"" Área Especial - Santa Maria Sul";Administração Regional de Santa Maria;Empréstimo;-;-
;Subtotal;-;-;-;-;-;305.763;12.621
