Nº;SEDE;NÚCLEO;RA;ENDEREÇO;PROPRIEDADE;SITUAÇÃO;ÁREA TOTAL;ÁREA CONSTRU- ÍDA
;;;;;;;M²;M²
18;Terreno;NUALM/NUPAT;Brasília;Setor de Áreas Isoladas norte (SIA/ Norte);Próprio;Regularizado;50.000;4.150
19;;Terreno;Núcleo Bandeirante;Área Especial n° 06 do Setor Avenida Contorno do Núcleo Bandeirante-DF (Desocupado - 542 m2 cedidos à Secriança);Próprio;Regularizado;1.543;-
20;;Terreno;Águas Claras;Lote 24, Avenida jacarandá;Próprio;Regularizado;6.931;-
21;;Terreno;Gama;Área Reservada n° 01 Setor Leste Gama – DF (Desocupado);Próprio;Regularizado;4.800;-
22;;Terreno;Samambaia;QS 427, Área Especial Lote04, Expansão da Samambaia (terreno já foi transferido da Secretaria de Obras para Seduma);-;Processo Regularização;7.727;-
;Subtotal;-;-;-;-;-;71.001;4.150
23;Aterros;Aterro Sanitário de Brasília;Samambaia;DF 180 - Km 51,5;Secretaria de Infraestrutura e Serviços Públicos;Processo Regularização 0110-000193/2016;760.000;1.537
24;;Aterro Controlado do Jóquei;SCIA/Estrutural;AE. Quadra 15, Conj. C1;Terracap;Processo Regularização 00111-00016598/2017- 01;123.710;1.058
;Subtotal;-;-;-;-;-;883.710;2.595
25;USINAS;NUTRA;Brazlândia;Quadra 33 Área Especial nº. 3 Vila São José;Terracap;Regularizado;7.878;1.098
26;;NUTRA;Ceilândia;QNP 28 área especial sem número - Setor Psul;Terracap;Processo Regularização 111.000.662/2006;200.000;295
27;;NUTRA;Asa Sul;Avenida das Nações S/N;Próprio;Próprio;116.469;9.737
;Subtotal;-;-;-;-;-;324.347;11.130
