2019;RESÍDUOS SÓLIDOS DOMICILIARES (KG);CAIXA DE GORDURA (KG);ANIMAIS MORTOS (KG);CAESB (KG);GRANDES GERADO- RES (KG);TOTAL (T)
Janeiro;66.310,210;11.330;8.190;798.120;3.291,720;70.409,79
Fevereiro;58.136,180;10.340;5.760;1.035,520;3.002,460;62.190,26
Março;61.641,200;11.850;8.120;853.560;3.430,180;65.944,91
Abril;61.864,590;7.830;8.750;626.090;3.639,740;66.150,00
Maio;67.813,840;14.840;8.020;684.830;3.384,550;71.906,08
Junho;54.842,850;15.670;5.820;505.160;2.690,170;58.059,67
Julho;58.637,760;12.010;7.770;574.590;2.845,720;62.077,85
Agosto;58.133.539;12.080;10.410;456.651;2.911,030;61.523,71
Setembro;56.096.290;6.360;7.980;581.550;2.945,270;59.637,45
Outubro;71.310,620;8.080;3.830;807.290;3.015,200;75.145,02
Novembro;65.989,060;9.140;2.110;1.019.710;2.950,010;69.970,03
Dezembro;73.911,813;8.730;4.536;592.500;3.350,011;77.867,59
TOTAL;756.349,197;102.310;74.650;6.908.587;37.456,06;800.890.804
