NÚMERO DE VIAGENS;;;;;
Mês;Remoção Manual;Remoção Mecanizada;Remoção PEV;Outros;Total
Janeiro;695;1.600;180;12.223;14.698
Fevereiro;662;1.540;176;11.919;14.297
Março;681;1.544;181;11.773;14.179
Abril;689;1.575;174;11.572;14.010
Maio;940;2.228;235;12.403;15.806
Junho;819;2.310;213;11.808;15.150
Julho;895;2.329;223;14.610;18.057
Agosto;877;2.018;248;13.869;17.012
Setembro;796;1.910;211;12.928;15.845
Outubro;766;2.250;68;14.378;17.462
Novembro;765;3.142;;11.965;15.872
Dezembro;791;3.913;304;11.383;16.391
TOTAL;9.376;26.359;2.213;150.831;188.779
