MÉDIA DE PESO POR VEÍCULO;;;;;
Mês;Remoção manual;Remoção mecanizada;Remoção PEV;Outros;Total
Janeiro;1,03;17,39;4,93;5,89;6,90
Fevereiro;1,13;18,83;5,52;6,43;7,51
Março;1,14;18,01;5,14;6,90;7,81
Abril;1,18;16,93;5,64;6,93;7,76
Maio;1,11;14,86;4,74;7,26;7,93
Junho;1,09;15,57;4,55;8,43;9,07
Julho;1,03;17,08;4,75;7,80;8,63
Agosto;1,09;16,52;4,88;6,53;7,41
Setembro;1,20;16,18;4,71;5,97;6,94
Outubro;1,52;14,24;5,19;5,56;6,50
Novembro;2,15;14,28;;5,53;7,10
Dezembro;1,52;13,56;3,45;5,30;7,05
MÉDIA;1,27;16,12;4,86;6,55;7,55
;;;;SLU;20,10%
