PESO LÍQUIDO POR MÊS;;;;;
Mês;Remoção manual;Remoção mecanizada;Remoção PEV;Outros;Total
Janeiro;718,79;27.829,94;888,20;71.988,74;101.425,67
Fevereiro;749,69;28.999,78;971,31;76.662,03;107.382,81
Março;774,20;27.803,74;929,64;81.280,55;110.788,13
Abril;813,40;26.662,25;980,81;80.207,78;108.664,24
Maio;1.041,35;33.110,87;1.114,54;90.105,97;125.372,73
Junho;891,81;35.961,00;969,49;99.551,45;137.373,75
Julho;926,14;39.772,58;1.058,73;113.999,20;155.756,65
Agosto;955,19;33.332,79;1.209,52;90.595,22;126.092,72
Setembro;955,77;30.902,20;994,06;77.149,33;110.001,36
Outubro;1.167,10;32.049,60;353,09;79.971,41;113.541,20
Novembro;1.648,46;44.875,64;;66.157,18;112.681,28
Dezembro;1.198,56;53.052,58;1.049,14;60.315,27;115.615,55
TOTAL;11.840,46;414.352,97;10.518,53;987.984,13;1.424.696,09
;;;;SLU;30,65%
