LOCALIZAÇÃO DOS PAPA LIXOS INSTALADOS;;
Endereço;RA;Nº
SHSN Ch. 75 Conj. F (Trecho III) (QUEIMADO);Sol Nascente;1
SHSN Ch. 73 Conj. B Casa 03 - Colégio 66;Sol Nascente;2
SHSN Condomínio Gêneses Conj. G (QUEIMADO);Sol Nascente;3
SHSN Ch. 115 Conj. C - Rotatória;Sol Nascente;4
SHSN Ch. 81/82 Lote 02 - Lava Jato 02;Sol Nascente;5
SHSN Ch. 81 Lote 02 - Feira;Sol Nascente;6
SHSN Ch. 113 Lote 02 - Depósito de Gás;Sol Nascente;7
SHSN QNP 27 A/E 01 - P. Norte - Japão da Construção;Sol Nascente;8
SHSN QNP 25 A/E - P. Norte - Vila Olímpica;Sol Nascente;9
SHSN QNP 11 A/E - P. Norte - Carroceiro (QUEIMADO);Sol Nascente;10
SHSN Qd. 17 Condomínio Pinheiro - Brasil;Sol Nascente;11
SHSN Ch. 150 Qd. 2 Lote 01 - Búfalos (Trecho I);Sol Nascente;12
SHSN Ch. 51 A - Palmeiras (Trecho I);Sol Nascente;13
SHPS Qd. 501 Conj. em frente à Igreja Pentecostal;Pôr do Sol;14
SHPS Qd. 504 Casa 10 - fim da rua principal;Pôr do Sol;15
SHPS Conj. J Casa 32 - ao lado do Colégio 67;Pôr do Sol;16
SHPS Qd. 701 Conj. A Casa 01;Pôr do Sol;17
SHPS Qd. 202 Conj. C Casa 03;Pôr do Sol;18
SHSL St. Leste Rua 32 Qd. 39 Lote 61 - Caesb;Santa Luzia;19
