IRR;Nº DE ACIDENTES;MÊS DO OCORRIDO;CAUSA
IRR SAAN;-;-;-
IRR SCIA QD. 10;02;Junho;Duas catadoras perfuraram o dedo da mão com objeto perfuro cortante.
;01;Outubro;Catadora teve o dedo perfurado por agulha de seringa.
;02;Novembro;Um catador perfurou o pé e um catador perfurou a mão.
;02;Dezembro;Uma catadora perfurou o braço e um catador perfurou o dedo.
IRR SCIA QD. 09;01;Abril;Catador teve o braço perfurado por agulha de seringa.
;01;Maio;Catadora teve o dedo perfurado por agulha de seringa.
;01;Julho;Catador prendeu a mão na empilhadeira.
;01;Setembro;Catadora cortou a mão com objeto cortante.
IRR SIA;01;Novembro;Catador sofreu queimadura no braço.
IRR PSUL;01;Fevereiro;Nove catadores das Cooperativas Plasferro e Coopere sentiram tonturas ao abrir sacos de lixo.
;01;Agosto;Catador teve o dedo perfurado por agulha de seringa.
;01;Setembro;Catador perfurou a planta do pé com vidro, mesmo estando com bota de segurança.
;02;Dezembro;Um catador sofreu queda em uma escada e uma cooperada sofreu corte na mão esquerda enquanto limpava o refeitório.
