Cooperativas/Associações com contratos só de triagem;;;;;;;;;;
N°;Nome;Endereço da Cooperativa/ Associação;CNPJ;N° de Catadores;;Total de catadores;RA da prestação do Serviço;Presidente/ Responsável;Contato;E-mail
;;;;Coleta Seletiva;Triagem;;;;;
1;Coorace;SCIA Quadra 9, conj. 01, lote 02;10.726.502/0001-58;;42;42;SIA;Lúcia;8559-1318;presid.lucia.coorace@gmail.com
2;Plasferro;QNP 28 AE - IRR - Ceilândia/DF;10.746.644/0001-87;;48;48;Ceilândia;Mara;98629-1230;plasferro@gmail.com
3;Coopernoes;SIA Trecho 17, Rua 08, Lote 105 - Brasília/DF;20.646.087/0001-86;;36;36;SIA;Alex;9851-8879;reciclagemcoopernoes@gmail.com
4;Ambiente;SCIA Quadra 10, Conjunto 01 Lotes 2 e 3 - Brasília - DF;04.096.838/0001-81;;113;113;SCIA;Cláudia/Nelinho;8177-2723/ 8208-0706;adm2.ambiente@gmail.com
5;Cooperlimpo;L4 Sul, AE - UTL - USINA Asa Sul - Brasília/DF.;20.646.087/0001-86;;59;59;Asa Sul;Mesac;99634-1736;cooperativacooperlimpodobrasil@gmail.com
6;Cortrap;SCIA Quadra 9, conj. 01, lote 02;04.091.544/0001-67;;64;64;SCIA;Janilson;99652-7783;cooperativacortrap012018@gmail.com
7;Construir;SCIA Quadra 9, conj. 01, lote 02;15.211.445/0001-98;;62;62;SCIA;Zilda;99844-5635;cooperativaconstruir2018@gmail.com
8;Cataguar;QNP 28 AE - UTMB – USINA Ceilândia/DF;07.030.564/0001-16;;74;74;Ceilândia;Graça;99229-6594;mbcsete@gmail.com
9;Coopativa;SIA. Trecho 17 Lote 1.660/1.700 - Brasília/DF.;05.247.950/0001-39;;22;22;SIA;Edson/ José Avelar;98246-9563/ 99157-5999;coopativabrasilia@gmail.com
10;Renove;L4 Sul, AE - UTL - USINA Asa Sul - Brasília/DF.;21.097.307/0001-22;;119;119;Asa Sul;Eva;99238-4128;cooperativarenove2019@gmail.com
11;Apcorc;QNP 28 AE - UTMB – USINA Ceilândia/DF;02.130.641/0001-96;;115;115;Ceilândia;Renato;99361-7932;associacaoapcorc@gmail.com
;SUBTOTAL;;;0;754;754;;;;
;;;;Total Contratados;;;;;;
;;;;73;1007;1.080;;;;
OBS.: O número de catadores contratados considera somente os catadores que estão dentro dos contratos, ou seja, nas organizações que só tem o contrato de coleta seletiva são somados os coletores e organizadores apenas, nos de triagem, considera-se todo o grupo.;;;;;;;;;;
