COOPERATIVAS SEM CONTRATO COM O SLU;;;;;;;;;;
N°;Nome;Endereço da Cooperativa/ Associação;CNPJ;N° de Catadores;;Total de catadores;RA da prestação do Serviço;Presidente/ Responsável;Contato;E-mail
;;;;Coleta Seletiva;Triagem;;;;;
1;Catamare;Setor de Industria 01 Quadra 04 lote 37/39 - Ceilândia/DF;07.870.418/0001-07;;18;18;Ceilândia;Antônia;99851-8117;
2;Acapas;SAAN QUADRA 2, LOTE 650;09.455.610/0001-54;;16;16;Asa Norte;Luzia;99955-9567;
3;Cooperfé;SAAN QUADRA 2, LOTE 650;33.625.924/0001-32;;69;69;Asa Norte;Dilei;8495-6132;
4;Planalto;AE para Indústria Lotes 3 a 6 - Núcleo de Limpeza do SLU - Sobradinho/DF.;10.553.313/0001-20;;37;37;Sobradinho;Ricardo;9816-3607;
5;Arcan;SEM LOCAL DEFINIDO;09.432.978/0001-05;;22;22;Candangolândia (Cerrado);Moises;sem contato;
6;Pop de Rua;SEM LOCAL DEFINIDO;26.793.854/0001-66;;;0;Paranoá (não declarou local);Mairla;9353-5175;
7;Acoplano;SEM LOCAL DEFINIDO;09.577.262/000198;;20;20;Paranoá (Cerrado);Socorro;98667-9448;
8;Ageplan;SEM LOCAL DEFINIDO;09.467.637/0001-67;;43;43;Asa Norte (Cerrado);Francisco;98170-5587;
9;Flor do Cerrado;SEM LOCAL DEFINIDO;19.779.233/0001-62;;28;28;Asa Norte (Cerrado);Marcos;99596-2904;
10;Superação;SIA. Trecho 17 Lote 1.660/1.700 - Brasília/DF.;07.392.130/0001-66;;11;11;SIA;Leda;99434-9179/ 98450-7448;
11;Reciclo;SIA. Trecho 17 Lote 1.660/1.700 - Brasília/DF.;08.992.948/0001-82;;25;25;SIA;Nívia;98497-5269;
12;Sonho de Liberdade;Santa Luzia - Estrutural;10.940.124/0001-00;;40;40;SCIA;Fernando;8449-3255;
;SUBTOTAL;;;0;329;329;;;;
;;;;N° de Catadores TOTAL DF;;Total de catadores;;;;
;;;;Coleta Seletiva;Triagem;;;;;
;;;;73;1382;1455;;;;
OBS. O número total de catadores é o somatório de todos os catadores declarados e em atividade no Distrito Federal, independente de terem ou não contrato com o SLU.;;;;;;;;;;
