CONTRATOS E RESULTADOS DA TRIAGEM POR COOPERATIVAS;;;;;
Cooperativa;Vigência do Contrato;Número do Contrato;Valor unitário por tonelada triada;Toneladas desviadas 2019;Valor pago por contrato 2019
Acobraz;Junho de 2018 a junho de 2020;34/2018;R$248,10;520,77;R$123.693,68
Ambiente;Janeiro de 2020 a julho de 2020;08/2018;R$304,14;2.851,39;R$792.392,14
Cataguar;Junho de 2018 a junho de 2020;32/2018;R$248,10;1.908,10;R$500.491,63
Construir;Janeiro de 2020 a julho de 2020;12/2018;R$304,14;2.345,75;R$654.367,55
Coopativa;Junho de 2018 a junho de 2020;36/2018;R$304,14;538,04;R$149.201,05
Cooperdife;Junho de 2018 a junho de 2020;38/2018;R$248,10;2.336,10;R$532.126,09
Coopere;Janeiro de 2020 a julho de 2020;11/2018;R$304,14;1.091,77;R$300.720,74
Cooperlimpo;Fevereiro de 2020 a julho de 2020;09/2018;R$304,14;1.968,20;R$585.865,79
Coopernoes;Janeiro de 2020 a julho de 2020;07/2018;R$304,14;1.063,89;R$292.160,67
Coorace;Janeiro de 2020 a julho de 2020;03/2018;R$304,14;1.219,78;R$333.734,05
Cortrap;Janeiro de 2020 a julho de 2020;10/2018;R$304,14;924,56;R$260.401,71
Plasferro;Janeiro de 2020 a julho de 2020;06/2018;R$304,14;1.250,17;R$359.951,12
Recicla Mais Brasil;Junho de 2018 a junho de 2020;35/2018;R$304,14;565,70;R$159.410,62
Recicle a Vida;Junho de 2018 a junho de 2020;31/2018;R$304,14;3.478,58;R$999.500,78
Renascer;Junho de 2018 a junho de 2020;33/2018;R$304,14;811,20;R$227.321,32
Renove;Junho de 2018 a junho de 2020;37/2018;R$248,10;2.846,71;R$657.837,91
Recicla Brasília;Dezembro de 2019 a julho de 2020;67/2018;R$248,10;811,14;R$185.422,03
Apcorc;Novembro de 2019 a novembro de 2020;39/2018;R$248,10;4.269,96;R$978.491,02
