GALPÃO SAAN;;;;;;;
Acapas;Mês;Quantidade mensal recebida (kg);Quantidade mensal de rejeito (contêiner);Cooper limpo;Mês;Quantidade mensal recebida (kg);Quantidade mensal de rejeito (contêiner)
;Janeiro;-;-;;Janeiro;283.216;1.479
;Fevereiro;-;-;;Fevereiro;278.675;1.508
;Março;-;-;;Março;291.740;1.408
;Abril;140.338;659;;Abril;347.730;1.817
;Maio;136.440;692;;Maio;293.090;1.724
;Junho;127.750;680;;Junho;286.190;1.574
;Julho;162.400;797;;Julho;346.700;2.290
;Agosto;193.090;848;;Agosto;341.520;2.127
;Setembro;140.330;776;;Setembro;263.190;1.756
;Outubro;147.195;658;;Outubro;267.366;1.537
;Novembro;138.918;621;;Novembro;272.004;1.432
;Dezembro;93.580;503;;Dezembro;329.979;1.605
;TOTAL;1.293.871;6.319;;TOTAL;3.601.400;20.257
