GALPÃO SCIA NOVO;;;;;;;;;;;
Construir;Mês;Quantidade mensal recebida (kg);Quantidade mensal de rejeito (contêiner);Coorace;Mês;Quantidade mensal recebida (kg);Quantidade mensal de rejeito (contêiner);Cortrap;Mês;Quantidade mensal recebida (kg);Quantidade mensal de rejeito (contêiner)
;Janeiro;243.010;1.145;;Janeiro;163.870;895;;Janeiro;149.370;462
;Fevereiro;234.200;1.069;;Fevereiro;197.725;853;;Fevereiro;138.740;658
;Março;265.446;1.122;;Março;150.930;965;;Março;143.029;535
;Abril;131.640;745;;Abril;118.250;876;;Abril;158.700;649
;Maio;192.437;1.125;;Maio;186.180;1.018;;Maio;163.160;873
;Junho;203.890;929;;Junho;163.480;1.027;;Junho;171.390;810
;Julho;270.330;1.397;;Julho;159.090;1.094;;Julho;191.880;924
;Agosto;158.570;844;;Agosto;121.360;909;;Agosto;227.190;1.065
;Setembro;214.590;1.218;;Setembro;141.620;912;;Setembro;205.500;1.070
;Outubro;164.955;869;;Outubro;101.430;820;;Outubro;160.030;933
;Novembro;198.215;1.082;;Novembro;137.155;701;;Novembro;203.450;1.115
;Dezembro;240.200;1.063;;Dezembro;171.260;770;;Dezembro;261.010;1.295
;TOTAL;2.517.483;12.608;;TOTAL;1.812.350;10.840;;TOTAL;2.173.449;10.389
