GALPÃO SIA B;;;;;;;
Coopernoes;Mês;Quantidade mensal recebida (kg);Quantidade mensal de rejeito (contêiner);Recicla Brasília;Mês;Quantidade mensal recebida (kg);Quantidade mensal de rejeito (contêiner)
;Janeiro;85.190;321;;Janeiro;43.880;126
;Fevereiro;116.720;502;;Fevereiro;76.960;423
;Março;126.650;571;;Março;80.500;522
;Abril;130.330;637;;Abril;72.980;572
;Maio;167.777;780;;Maio;73.770;621
;Junho;176.410;710;;Junho;69.800;439
;Julho;143.930;726;;Julho;78.242;555
;Agosto;164.645;721;;Agosto;101.552;501
;Setembro;141.820;724;;Setembro;100.244;506
;Outubro;150.652;681;;Outubro;122.771;676
;Novembro;199.459;794;;Novembro;93.925;703
;Dezembro;204.526;763;;Dezembro;105.325;515
;TOTAL;1.803.159;7.930;;TOTAL;1.019.949;6.159
