GALPÃO SAAN;;;;;;;
Acapas;Mês;Quantidade mensal triada (kg);Aproveitamento esperado (%);Cooper limpo;Mês;Quantidade mensal triada (kg);Aproveitamento esperado (%)
;Janeiro;;;;Janeiro;158.586;56%
;Fevereiro;;;;Fevereiro;151.601;54%
;Março;;;;Março;173.093;59%
;Abril;18.028;13%;;Abril;194.617;56%
;Maio;8.005;6%;;Maio;147.814;50%
;Junho;1.542;1%;;Junho;153.554;54%
;Julho;15.776;10%;;Julho;153.722;44%
;Agosto;35.701;18%;;Agosto;162.278;48%
;Setembro;;;;Setembro;115.212;44%
;Outubro;25.070;17%;;Outubro;137.843;52%
;Novembro;23.660;17%;;Novembro;151.329;56%
;Dezembro;223;0%;;Dezembro;194.726;59%
;TOTAL;127.782;9%;;TOTAL;1 894 374;53%
