GALPÃO SCIA NOVO;;;;;;;;;;;
Construir;Mês;Quantidade mensal triada (kg);Aproveitamento esperado (%);Coorace;Mês;Quantidade mensal triada (kg);Aproveitamento esperado (%);Cortrap;Mês;Quantidade mensal triada (kg);Aproveitamento esperado (%)
;Janeiro;101.603;42%;;Janeiro;71.685;44%;;Janeiro;103.170;69%
;Fevereiro;102.179;44%;;Fevereiro;109.866;56%;;Fevereiro;72.940;53%
;Março;126.879;48%;;Março;51.535;34%;;Março;89.529;63%
;Abril;39.633;30%;;Abril;28.022;24%;;Abril;93.800;59%
;Maio;53.500;28%;;Maio;81.326;44%;;Maio;75.860;46%
;Junho;89.159;44%;;Junho;57.699;35%;;Junho;90.390;53%
;Julho;97.800;36%;;Julho;46.408;29%;;Julho;99.480;52%
;Agosto;54.336;34%;;Agosto;27.733;23%;;Agosto;120.690;53%
;Setembro;64.167;30%;;Setembro;47.684;34%;;Setembro;98.500;48%
;Outubro;57.634;35%;;Outubro;16.970;17%;;Outubro;66.730;42%
;Novembro;64.588;33%;;Novembro;64.952;47%;;Novembro;91.950;45%
;Dezembro;108.920;45%;;Dezembro;91.950;54%;;Dezembro;131.510;50%
;TOTAL;960 395;38%;;TOTAL;695 830;38%;;TOTAL;1 134 549;52%
