GALPÃO SIA B;;;;;;;
Coopernoes;Mês;Quantidade mensal triada (kg);Aproveitamento esperado (%);Recicla Brasília;Mês;Quantidade mensal triada (kg);Aproveitamento esperado (%)
;Janeiro;42.155;49%;;Janeiro;32.464;74%
;Fevereiro;49.419;42%;;Fevereiro;38.636;50%
;Março;50.098;40%;;Março;33.207;41%
;Abril;44.930;34%;;Abril;21.157;29%
;Maio;63.205;38%;;Maio;17.507;24%
;Junho;81.223;46%;;Junho;30.027;43%
;Julho;46.595;32%;;Julho;27.959;36%
;Agosto;67.981;41%;;Agosto;56.161;55%
;Setembro;44.753;32%;;Setembro;54.400;54%
;Outubro;59.350;39%;;Outubro;61.525;50%
;Novembro;93.007;47%;;Novembro;30.233;32%
;Dezembro;102.231;50%;;Dezembro;58.666;56%
;TOTAL;744 946;41%;;TOTAL;461 944;45%
