COOPERATIVA;VIGÊNCIA DO CONTRATO;NÚMERO DO CONTRATO;VALOR DO CONTRATO (ANUAL)
Recicle a Vida;Maio de 2019 a maio de 2020;05/2016;400.063,44
R3;Maio de 2019 a maio de 2020;07/2016;383.183,52
Acobraz;Maio de 2019 a maio de 2020;06/2019;383.183,52
Renascer;Maio de 2019 a maio de 2020;08/2019;383.183,52
Recicla Brasília;Dezembro de 2019 a julho de 2020;64/2018;513.883,56
CRV;Dezembro de 2018 a julho de 2020;68/2018;477.533,16
Coopere;Janeiro de 2020 a janeiro de 2021;04/2019;467.993,04
Ecolimpo;Janeiro de 2020 a julho de 2020;05/2019;434.479,20
Recicla Mais Brasil;Janeiro de 2020 a julho de 2021;01/2019;434.697,48
Cooperdife;Janeiro de 2020 a janeiro de 2021;02/2019;459.571,80
Vencendo Obstáculos;Janeiro de 2020 a julho de 2020;03/2019;442.014,84
