ATIVIDADES DE MOBILIZAÇÃO DE 2019;;
ATIVIDADE;Nº DE AÇÕES;PESSOAS ATENDIDAS
Palestras;37;2863
Apresentações Teatrais;7;595
Museu da Limpeza Urbana;40;1106
Mobilizações Coleta Seletiva;15;1800
Visitas à Unidade de Recebimento de Entulho;28;311
Visitas ao Aterro Sanitário de Brasília;11;62
Visitas à Usina da Asa Sul;8;15
Visitas à IRR do SIA;2;31
Visitas à Usina do PSul;22;115
Visitas à IRR do P-Sul;26;109
Visitas ao Galpão novo do SCIA;19;92
Visitas ao Galpão do SAAN;3;33
Orientações por telefone;321;321
Respostas a demandas da Ouvidoria;60;60
Total;599;7.513
