TAXA DE RECUPERAÇÃO DE RESÍDUOS SÓLIDOS RECICLADOS SECOS;;;
MÊS;TRIADO – T (TONELADAS);TOTAL COLETADO - T (TONELADAS);I = T/COL*100 (%)
Janeiro;2.886,13;74.468,62;3,88
Fevereiro;2.570,01;68.753,98;3,74
Março;2.293,17;70.855,86;3,24
Abril;278,82;63.711,45;0,44
Maio;227,07;62.783,95;0,36
Junho;249,88;63.417,45;0,39
Julho;602,28;64.854,13;0,93
Agosto;1.110,34;64.008,96;1,73
Setembro;2.548,28;65.669,73;3,78
Outubro;2.674,29;70.054,15;3,82
Novembro;2.792,81;68.345,36;4,09
Dezembro;2.589,40;76.731,85;3,37
