QUADRO COMPARATIVO LOA X DESPESA;;;;;;
Exercício;LOA - Receitas;Variação Percentual;Aumento Absoluto;Despesas;Variação Percentual;Aumento Absoluto
2011;323.272.152;%;0;262.768.454;%;0
2012;310.685.339;-4;-12.586.813;361.897.714;38;99.129.260
2013;389.082.954;25;78.397.615;409.233.166;13;47.335.452
2014;366.068.361;-6;-23.014.593;443.347.285;8;34.114.119
2015;346.111.997;-5;-19.956.364;487.197.691;10;43.850.406
2016;498.067.973;44;151.955.976;495.849.555;2;8.651.864
2017;472.234.656;-5;-25.833.317;532.513.645;7;36.664.090
2018;532.116.663;13;59.882.007;547.033.386;3;14.519.741
2019;534.773.833;0;62.539.177;497.348.293;-9;-35.165.352
2020;585.489.991;9;53.373.328;531.602.486;7;-15.430.900
