Nº;Contrato;Empresa;Data de assinatura/ início da vigência;Objeto;Término da vigência;Valor (R$);Executores e Suplentes
1;06/2016;ACOBRAZ;18/05/2016;COLETA SELETIVA DE RESÍDUOS RECICLÁVEIS;18/05/2021;R$ 383.183,52;FRANCISCO ANTONIO MENDES JORGE / ALEXANDRO DOS SANTOS HENRIQUES
2;08/2016;RENASCER;18/05/2016;COLETA SELETIVA DE RESÍDUOS RECICLÁVEIS;18/05/2021;R$ 383.183,52;ANDREA PORTUGAL FELLOWS KUHNET / ANDRÉ LUIZ JUNQUEIRA GUIMARÃES
3;07/2016;R3 COOPERATIVA;18/05/2016;COLETA SELETIVA DE RESÍDUOS RECICLÁVEIS;19/05/2021;R$ 383.183,52;FRANCISCO ANTONIO MENDES JORGE / ANDRÉ LUIZ JUNQUEIRA GUIMARÃES
4;05/2016;RECICLE A VIDA;20/05/2016;COLETA SELETIVA DE RESÍDUOS RECICLÁVEIS;20/05/2021;R$ 400.063,44;FRANCISCO ANTONIO MENDES JORGE / ALEXANDRO DOS SANTOS HENRIQUES
5;07/2018;COOPERATIVA DE TRABALHO DE MATERIAL E DE EDUCAÇÃO AMBIENTAL NOVA ESPERANÇA - COOPERNOES;16/01/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;31/07/2021;R$ 328.471,20;ALBA LUCIA BARROS MOREIRA RODRIGUES / GUSTAVO ROQUE DA COSTA
6;08/2018;ASSOCIAÇÃO DOS AMBIENTALISTAS DA VILA ESTRUTURAL - AMBIENTE;16/01/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;31/07/2021;R$ 3.649.680,00;BRUNA KARLA SOARES ARAÚJO / MARIA NILVA ALMEIDA PRADO
7;06/2018;COOPERATIVA DE RECICLAGEM AMBIENTAL - PLASFERRO;16/01/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;31/07/2021;R$ 729.000,00;BRUNA KARLA SOARES ARAUJO / ALBA LÚCIA BARROS MOREIRA RODRIGUES
8;10/2018;COOPERATIVA OE RECICLAGEM, TRABALHO E PRODUÇÃO - CORTRAP;16/01/2018;PRESTAÇÃO DE PROCESSAMENTO DE RESÍDUOS SÓLIDOS URBANOS NA RECEPÇÃO, TRIAGEM, PRENSAGEM, ENFARDAMENTO, ARMAZENAMENTO E COMERCIALIZAÇÃO NO SIA QUADRA 10, CONJUNTO D LOTES 2 E 3 - BRASILIA/DF;31/07/2021;R$ 310.222,80;ALBA LUCIA BARROS MOREIRA RODRIGUES / GUSTAVO ROQUE DA COSTA
9;03/2018;COOPERATIVA AMBIENTAL DA CIDADE ESTRUTURAL - COORACE;16/01/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;31/07/2021;R$ 1.445.273,28;ALBA LUCIA BARROS MOREIRA RODRIGUES / GUSTAVO ROQUE DA COSTA
10;12/2018;COOPERATIVA DE TRABALHO DE RECICLAGEM AMBIENTAL - CONSTRUIR;16/01/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;31/07/2021;R$ 729.936,00;ALBA LUCIA BARROS MOREIRA RODRIGUES / GUSTAVO ROQUE DA COSTA
