QUANTIDADE DE VEÍCULOS POR DIRETORIA E UNIDADE OPERACIONAL;
Diretoria;Quantidade de veículos disponíveis
Diretoria de Limpeza Urbana (Dilur);01
Unidade de Recebimento de Entulho (URE);2
Gerência Regional Centro-Sul (Gesul);11
Gerência Regional Centro-Norte (Genor);11
Gerência Regional Oeste (Goes);7
Gerência de Aterro (Gerat);5
Gerência de Tratamento (Getra);1
Instalação de Recuperação de Resíduos (IRR);3
Diretoria Técnica (Ditec);5
Assessoria de Comunicação e Mobilização (Ascom);2
Diretoria de Gestão Tecnológica (Diget);1
Diretoria de Administração e Finanças (Diafi);7
Total;56
