;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL;MÉDIA
PEV Asa sul;58,350;80,940;67,790;53,690;65,830;95,900;82,440;66,750;73,260;75,250;51,100;66,160;837,46;69,79
PEV Brazlândia 1;40,180;39,020;47,410;19,890;21,180;51,860;57,810;50,800;48,800;28,600;28,450;9,090;443,09;36,92
PEV Brazlândia 2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;4,560;20,360;17,010;24,870;14,340;81,14;6,76
PEV Ceilândia 1;290,920;326,320;341,390;250,410;374,590;709,530;824,910;512,620;457,900;414,410;402,650;223,670;5129,32;427,44
PEV Ceilândia 2;13,400;3,710;3,010;0,000;6,750;3,320;16,460;234,480;277,840;258,100;221,760;122,800;1161,63;96,80
PEV Gama;99,150;108,710;118,380;106,990;155,780;202,480;281,850;224,760;198,970;244,490;202,570;109,950;2054,08;171,17
PEV Guará;246,720;234,540;257,570;217,540;257,400;267,060;302,760;316,810;303,420;288,030;242,210;156,540;3090,60;257,55
PEV Planaltina;74,210;106,630;133,140;93,850;150,790;143,660;181,060;158,620;152,660;191,640;175,490;95,960;1657,71;138,14
PEV Pôr do sol;0,000;0,000;0,000;0,000;0,000;0,000;0,000;101,850;104,920;122,140;159,860;52,100;540,87;45,07
PEV Taguatinga;214,14;230,70;266,67;209,25;269,07;297,51;299,01;317,48;343,55;327,13;297,94;195,07;3267,52;272,29
Total;1.037,07;1.130,57;1.235,36;951,62;1.301,39;1.771,32;2.046,30;1.988,73;1.981,68;1.966,80;1.806,90;1.045,68;18.263,42;1.521,95
