ATERRO SANITÁRIO DE BRASÍLIA - ATERRAMENTO (2020);;;;
Mês;Custo por tonelada;Custo mensal;Custos de fiscalização;Total
Janeiro;R$ 26,49;R$ 1.956.726,50;R$ 24.780,00;R$ 1.981.506,50
Fevereiro;R$ 26,49;R$ 1.725.167,61;R$ 24.780,00;R$ 1.749.947,61
Março;R$ 27,32;R$ 1.947.532,43;R$ 24.780,00;R$ 1.972.312,43
Abril;R$ 27,32 / R$ 44,93;R$2.426.653,96;R$ 8.260,00;R$ 2.434.913,96
Maio;R$ 44,93;R$3.027.333,98;;R$ 3.027.333,98
Junho;R$ 44,93;R$2.887.583,26;;R$ 2.887.583,26
Julho;R$ 44,93;R$ 2.994.916,53;;R$ 2.994.916,53
Agosto;R$ 44,93;R$2.919.692,93;;R$ 2.919.692,93
Setembro;R$ 44,93;R$ 2.891.716,82;;R$ 2.891.716,82
Outubro;R$ 44,93;R$ 3.180.561,45;;R$ 3.180.561,45
Novembro;R$ 44,93;R$ 2.983.239,68;;R$ 2.983.239,68
Dezembro;R$ 44,93;R$ 3.497.547,54;;R$ 3.497.547,54
TOTAL;;R$ 32.438.672,69;R$ 82.600,00;R$ 32.521.272,69
