PESO LÍQUIDO POR MÊS (em toneladas);;;;;
MÊS;REMOÇÃO MANUAL;REMOÇÃO MECANIZADA;REMOÇÃO PEV;OUTROS;TOTAL
Janeiro;1.153,89;56.956,86;1.355,42;66.624,72;126.090,89
Fevereiro;1.048,63;45.976,65;1.472,47;60.462,52;108.960,27
Março;1.130,66;50.626,48;1.587,88;70.832,51;124.177,53
Abril;1.102,93;45.150,98;1.460,12;52.303,31;100.017,34
Maio;1.027,28;43.311,46;1.982,73;63.855,37;110.176,84
Junho;1.064,60;48.965,76;2.049,92;93.896,76;145.977,04
Julho;973,12;59.908,10;2.321,69;114.391,12;177.594,03
Agosto;959,82;49.709,12;2.266,48;98.004,03;150.939,45
Setembro;972,88;49.386,08;2.250,43;97.338,95;149.948,34
Outubro;1.096,15;55.007,02;2.290,97;84.987,41;143.381,55
Novembro;989,46;48.197,00;2.120,47;75.231,88;126.538,81
Dezembro;1.006,16;49.811,61;1.242,34;72.708,41;124.768,52
TOTAL;12.525,58;603.007,12;22.400,92;950.636,99;1.588.570,61
