PESO LÍQUIDO POR MÊS;;;;;;
MÊS;RCC BRITADO - BRITA 1;RCC BRITADO - BRITA 2;RCC BRITADO - RACHÃO;RCC BRITADO - AGREGADO MISTO;RCC BRITADO - PÓ/AREIA;TOTAL
Janeiro;132,71;153,47;113,42;0,00;0,00;399,60
Fevereiro;159,42;7,04;92,20;0,00;0,00;258,66
Março;281,66;790,40;162,60;0,00;0,00;1.234,66
Abril;1.122,16;563,21;710,01;77,78;28,52;2.501,68
Maio;1.169,39;219,44;480,27;892,94;98,81;2.860,85
Junho;1.484,19;1.505,59;73,12;802,15;0,00;3.865,05
Julho;621,24;889,59;4,59;21,04;0,00;1.536,46
Agosto;1.837,07;245,64;91,02;579,99;0,00;2.753,72
Setembro;2.032,44;437,61;0,00;72,02;0,00;2.542,07
Outubro;343,02;1.323,06;156,49;0,00;0,00;1.822,57
Novembro;554,23;1.924,20;999,34;0,00;0,00;3.477,77
Dezembro;1.396,47;2.582,69;556,91;0,00;0,00;4.536,07
TOTAL;11.134,00;10.641,94;3.439,97;2.445,92;127,33;27.789,16
