URE - ATERRAMENTO (2020);;;;;;;
Mês;Operação e manutenção da Unidade de Recebimento de Entulhos;Custo por tonelada;Execução dos serviços de britagem de resíduos da construção civil;Custo por tonelada;Execução dos serviços de trituração de galhadas e podas;Custo por tonelada;Custo Total - Operação, Manutenção, trituração e britagem
Janeiro;R$ 1.629.094,30;R$ 12,92;R$ 159.515,45;R$ 9,26;R$ 262,42;R$ 8,03;R$ 1.788.872,17
Fevereiro;R$ 1.407.766,69;R$ 12,92;R$ 101.156,61;R$ 9,26;R$ 559,61;R$ 8,03;R$ 1.509.482,91
Março;R$ 1.604.373,69;R$ 12,92;R$ 99.829,84;R$ 9,26;R$ 408,33;R$ 8,03;R$ 1.704.611,86
Abril;R$ 1.292.224,03;R$ 12,92;R$ 116.656,00;R$ 9,26;R$ 410,73;R$ 8,03;R$ 1.409.290,76
Maio;R$ 1.423.484,77;R$ 12,92;R$ 213.703,11;R$ 9,26;R$ 941,92;R$ 8,03;R$ 1.638.129,80
Junho;R$ 1.886.023,36;R$ 12,92;R$ 257.444,02;R$ 9,26;R$ 782,20;R$ 8,03;R$ 2.144.249,58
Julho;R$ 2.294.514,86;R$ 12,92;R$ 279.911,65;R$ 9,26;R$ 433,78;R$ 8,03;R$ 2.574.860,29
Agosto;R$ 1.950.137,69;R$ 12,92;R$ 273.693,00;R$ 9,26;R$ 373,07;R$ 8,03;R$ 2.224.203,76
Setembro;R$ 1.937.332,55;R$ 12,92;R$ 277.628,88;R$ 9,26;R$ 405,68;R$ 8,03;R$ 2.215.367,11
Outubro;R$ 1.852.489,63;R$ 12,92;R$ 228.394,29;R$ 9,26;R$ 148,56;R$ 8,03;R$ 2.081.032,48
Novembro;R$ 1.634.881,43;R$ 12,92;R$ 176.597,65;R$ 9,26;R$ 193,92;R$ 8,03;R$ 1.811.673,00
Dezembro;R$ 1.622.636,88;R$ 12,92;R$ 187.172,94;R$ 9,26;R$ 379,90;R$ 8,03;R$ 1.810.189,72
TOTAL;R$ 20.534.959,88;;R$ 2.371.703,44;;R$ 5.300,12;;R$ 22.911.963,44
Média;R$ 1.711.246,66;;R$ 197.641,95;;R$ 441,68;;R$ 1.909.330,29
