LOTE I;;;;;;;;;;;;
;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ
Varrição manual de vias;R$ 4.066.466,45;R$ 3.879.060,82;R$ 4.045.010,42;R$ 3.892.162,16;R$ 3.923.360,09;R$ 4.072.715,84;R$ 4.208.726,16;R$ 4.201.990,44;R$ 4.193.389,59;R$ 4.352.382,98;R$ 4.106.929,67;R$ 4.257.458,44
Coleta Seletiva;R$ 681.505,82;R$ 709.967,78;R$ 513.896,50;R$ 790,61;R$ -;R$ -;R$ 89.338,93;R$ 388.424,52;R$ 420.658,92;R$ 587.471,94;R$ 798.673,44;R$ 862.794,58
Coleta convencional de RSU;R$ 2.546.572,84;R$ 2.348.927,71;R$ 2.466.583,62;R$ 2.304.956,59;R$ 2.271.158,98;R$ 2.289.041,56;R$ 2.292.774,09;R$ 2.254.144,98;R$ 2.314.374,94;R$ 2.453.349,12;R$ 2.393.592,65;R$ 2.683.037,03
Coleta manual de entulhos;R$ 214.896,59;R$ 197.126,98;R$ 187.763,95;R$ 201.355,44;R$ 201.355,44;R$ 201.355,44;R$ 201.355,44;R$ 204.302,40;R$ 204.302,40;R$ 194.853,41;R$ 203.279,51;R$ 199.478,94
Coleta mecanizada de entulhos;R$ 568.364,05;R$ 463.634,93;R$ 489.443,66;R$ 451.464,94;R$ 443.889,40;R$ 554.967,53;R$ 823.014,76;R$ 661.066,82;R$ 580.558,30;R$ 659.247,70;R$ 625.278,99;R$ 714.114,97
Limpeza de equipamentos e Bens Públicos;R$ 121.475,76;R$ 121.475,76;R$ 121.475,76;R$ 121.475,76;R$ 121.475,76;R$ 121.475,76;R$ 121.475,76;R$ 124.371,50;R$ 124.371,50;R$ 124.371,50;R$ 125.421,22;R$ 125.421,22
Catação em Área Verde;R$ 720.926,82;R$ 720.926,82;R$ 720.926,82;R$ 720.926,82;R$ 720.926,82;R$ 720.926,82;R$ 720.926,82;R$ 749.793,87;R$ 749.793,87;R$ 749.793,87;R$ 761.983,29;R$ 761.983,29
Lavagem de Vias e Logradouros públicos;R$ 74.404,82;R$ 74.404,82;R$ 74.404,82;R$ 74.404,82;R$ 74.404,82;R$ 74.404,82;R$ 74.404,82;R$ 76.071,12;R$ 76.071,12;R$ 76.071,12;R$ 76.683,30;R$ 76.683,30
Varrição mecanizada de vias;R$ 573.507,97;R$ 668.835,72;R$ 576.104,13;R$ 575.211,70;R$ 607.420,31;R$ 583.081,31;R$ 600.929,91;R$ 577.240,10;R$ 572.821,82;R$ 599.904,24;R$ 564.736,92;R$ 588.041,96
Pintura Mecanizada de Meio-Fio e Frisagem;R$ 363.568,14;R$ 363.568,14;R$ 363.568,14;R$ 363.568,14;R$ 363.568,14;R$ 363.568,14;R$ 363.568,14;R$ 375.889,26;R$ 375.889,26;R$ 375.889,26;R$ 380.884,84;R$ 380.884,84
