;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ
Varrição manual de vias;R$ 8.727.216,05;R$ 8.337.419,76;R$ 8.858.781,07;R$ 8.465.827,94;R$ 8.465.305,65;R$ 8.698.326,44;R$ 8.952.652,87;R$ 8.861.639,95;R$ 8.968.317,55;R$ 9.498.940,74;R$ 8.885.736,53;R$ 9.155.794,84
Coleta Seletiva;R$ 1.170.456,66;R$ 1.208.480,58;R$ 908.682,96;R$ 790,61;R$ -;R$ -;R$ 89.338,93;R$ 587.860,08;R$ 769.512,08;R$ 1.211.817,44;R$ 1.657.764,20;R$ 1.745.956,24
Coleta convencional de RSU;R$ 7.096.518,35;R$ 6.556.105,69;R$ 6.860.326,63;R$ 6.459.015,86;R$ 6.365.584,17;R$ 6.418.691,74;R$ 6.517.601,16;R$ 6.359.958,35;R$ 6.482.379,44;R$ 6.929.685,91;R$ 6.698.791,89;R$ 7.183.019,45
Coleta manual de entulhos;R$ 671.426,97;R$ 680.054,36;R$ 661.294,81;R$ 674.886,30;R$ 674.886,30;R$ 674.886,30;R$ 674.886,30;R$ 666.680,47;R$ 676.167,51;R$ 684.115,97;R$ 692.542,07;R$ 688.741,50
Coleta mecanizada de entulhos;R$ 1.801.183,94;R$ 1.451.727,60;R$ 1.596.208,73;R$ 1.430.346,57;R$ 1.382.703,12;R$ 1.585.217,87;R$ 1.959.300,01;R$ 1.620.798,24;R$ 1.588.080,55;R$ 1.804.564,59;R$ 1.594.975,54;R$ 1.675.438,72
Limpeza de Equipamentos e Bens Públicos;R$ 224.775,64;R$ 226.704,54;R$ 226.704,54;R$ 226.704,54;R$ 195.050,79;R$ 226.704,54;R$ 226.704,54;R$ 229.600,28;R$ 229.600,28;R$ 232.294,52;R$ 233.344,24;R$ 233.344,24
Catação em Área Verde;R$ 2.066.018,57;R$ 2.066.399,91;R$ 2.066.033,77;R$ 2.063.104,63;R$ 2.065.814,08;R$ 2.060.300,93;R$ 2.066.399,91;R$ 2.095.266,96;R$ 2.094.504,28;R$ 2.133.441,32;R$ 2.147.308,65;R$ 2.144.901,30
Lavagem de Vias e Logradouros Públicos;R$ 201.001,34;R$ 202.053,02;R$ 203.315,04;R$ 203.315,04;R$ 203.315,04;R$ 202.143,17;R$ 196.644,38;R$ 204.981,34;R$ 204.981,34;R$ 208.257,08;R$ 208.869,26;R$ 208.869,26
Varrição mecanizada de vias;R$ 975.750,57;R$ 1.066.192,37;R$ 991.196,58;R$ 962.384,55;R$ 1.061.309,06;R$ 1.032.524,36;R$ 1.052.296,81;R$ 1.032.060,05;R$ 1.032.152,72;R$ 1.077.758,10;R$ 983.171,85;R$ 1.010.370,65
Pintura Mecanizada de Meio-Fio e Frisagem;R$ 983.144,48;R$ 993.557,14;R$ 955.850,71;R$ 969.260,95;R$ 1.010.280,49;R$ 995.134,81;R$ 1.010.596,03;R$ 1.013.608,86;R$ 1.013.608,86;R$ 1.015.854,16;R$ 1.048.695,12;R$ 1.048.695,12
Limpeza Pós Eventos e Coleta de Resíduos de Caixa de Gordura;R$ 331.491,22;R$ 570.829,54;R$ 488.890,22;R$ 488.890,22;R$ 485.871,83;R$ 488.890,22;R$ 486.173,67;R$ 494.804,59;R$ 494.804,59;R$ 503.286,57;R$ 505.564,87;R$ 505.564,87
Unidade de Transbordo de Rejeitos e/ou Resíduos;R$ 1.703.026,94;R$ 1.577.080,48;R$ 1.615.081,04;R$ 1.504.301,89;R$ 1.623.168,31;R$ 1.630.246,92;R$ 1.644.503,47;R$ 1.567.949,25;R$ 1.625.885,21;R$ 1.701.705,37;R$ 1.723.518,62;R$ 1.843.939,17
Resíduos da Saúde;R$ 276.855,73;R$ 259.455,01;R$ 275.709,31;R$ 242.895,45;R$ 285.785,02;R$ 339.174,19;R$ 517.815,70;R$ 521.363,98;R$ 477.405,92;R$ 453.483,60;R$ 420.958,96;R$ 340.971,20
TOTAL MENSAL;R$ 26.228.866,46;R$ 25.196.060,00;R$ 25.708.075,41;R$ 23.691.724,55;R$ 23.819.073,86;R$ 24.352.241,49;R$ 25.394.913,78;R$ 25.256.572,40;R$ 25.657.400,33;R$ 27.455.205,37;R$ 26.801.241,80;R$ 27.785.606,56
TOTAL 2020;R$ 307.346.982,00;;;;;;;;;;;
