Contratos e resultados da triagem por cooperativa;;;;;;
COOPERATIVA;VIGÊNCIA DO CONTRATO;Nº DO CONTRATO;VALOR UNITÁRIO POR TONELADA TRIADA;TONELADAS RECUPERADAS 2020;TONELADAS RECUPERADAS 2019;COMPARATIVO DO PERÍODO 2019-2020
Acobraz;Jun/2020 a Jun/2021;34/2018;R$248,10;224;521;-57%
Ambiente;Ago/2020 a Jul/2021;08/2018;R$304,14;1.638;2.851;-43%
Apcorc;Nov/2020 a Nov/2021;39/2018;R$248,10;2.449;4.270;-43%
Cataguar;Jun/2020 a Jun/2021;32/2018;R$248,10;1.292;1.908;-32%
Construir;Ago/2020 a Jul/2021;12/2018;R$304,14;851;2.346;-64%
Coopativa;Jun/2020 a Jun/2021;36/2018;R$304,14;419;538;-22%
Cooperdife;Jun/2020 a Jun/2021;38/2018;R$248,10;927;2.336;-60%
Coopere;Ago/2020 a Jul/2021;11/2018;R$304,14;698;1.092;-36%
Cooperlimpo;Ago/2020 a Jul/2021;09/2018;R$248,10;1.355;1.968;-31%
Coopernoes;Ago/2020 a Jul/2021;07/2018;R$304,14;701;1.064;-34%
Coorace;Ago/2020 a Jul/2021;03/2018;R$304,14;783;1.220;-36%
Cortrap;Ago/2020 a Jul/2021;10/2018;R$304,14;496;925;-46%
Plasferro;Ago/2020 a Jul/2021;06/2018;R$304,14;730;1.250;-42%
Recicla Brasília;Ago/2020 a Jul/2021;67/2018;R$304,14;565;811;-30%
Recicla Mais Brasil;Jun/2020 a Jun/2021;35/2018;R$304,14;440;566;-22%
Recicle a Vida;Jun/2020 a Jun/2021;31/2018;R$304,14;3.159;3.479;-9%
