Aproveitamento da Coleta Seletiva por cooperativa nas RA;;;;
REGIÃO ADMINISTRATIVA;RENDA (CODEPLAN - 2017);MASSA COLETADA (TON);REJEITO (TON);APROVEITAMENTO(%)
Brazlândia;Média baixa;215,3;6,3;97,1%
Sobradinho 1;Média alta;366,2;87,4;76,1%
Riacho Fundo 1 e 2;Média baixa;286,3;48,3;83,1%
Lago Norte e Varjão;Alta;589,3;55,6;90,6%
São Sebastião;Baixa;162,9;49,1;69,8%
Santa Maria;Média baixa;278,4;58,3;79,1%
Lago Sul;Alta;281,8;71,1;74,8%
Paranoá e Itapoã;Baixa;164,0;62,3;62,0%
Samambaia;Média baixa;325,4;53,2;83,7%
Candangolândia e Núcleo Bandeirante;Média alta;146,1;12,1;91,7%
Cruzeiro Velho;Média alta;148,2;37,8;74,5%
Total Geral;;2.963,9;541,5;81,7%
