Cooperativas de coleta seletiva inclusiva;;;;
COOPERATIVA;VIGÊNCIA DO CONTRATO;NÚMERO DO CONTRATO;VALOR DO CONTRATO (ANUAL);RA ATENDIDA
Recicle a Vida;Mai/2020 a Mai/2021;05/2016;R$ 400.063,44;Samambaia (parcial)
R3;Mai/2020 a Mai/2021;07/2016;R$ 383.183,52;Santa Maria (parcial)
Acobraz;Mai/2020 a Mai/2021;06/2016;R$ 383.183,52;Brazlândia (parcial)
Renascer;Mai/2020 a Mai/2021;08/2016;R$ 383.183,52;Candangolândia e Núcleo Bandeirante
Recicla Brasília;Ago/2020 a Jul/2021;64/2018;R$ 513.883,56;Lago Sul
CRV;Ago/2020 a Jul/2021;68/2018;R$ 477.533,16;Lago Norte e Varjão
Coopere;Ago/2020 a Jul/2021;04/19;R$ 467.993,04;Riacho Fundo 1 e 2
Ecolimpo;Ago/2020 a Jul/2021;05/19;R$ 434.479,20;São Sebastião
Recicla Mais Brasil;Ago/2020 a jul/2021;01/19;R$ 434.697,48;Paranoá e Itapoã
Cooperdife;Jul/2020 a Jun/2021;02/19;R$ 459.571,80;Sobradinho 1
Vencendo Obstáculos;Ago/2020 a Jul/2021;03/19;R$ 442.014,84;Cruzeiro Velho e Grandes Geradores
