Cooperativas/Associações SEM contrato de coleta seletiva e triagem;;;;;;;;;
N°;NOME;ENDEREÇO;CNPJ;N° DE CATADORES;;TOTAL DE CATADORES;RA DE PRESTAÇÃO DO SERVIÇO;PRESIDENTE/ RESPONSÁVEL;CONTATO
;;;;COLETA SELETIVA;TRIAGEM;;;;
1;Acapas;SEM LOCAL DEFINIDO;09.455.610/0001-54;;30;30;Asa Norte;Luzia;99955-9567
2;Acoplano;SEM LOCAL DEFINIDO;09.577.262/0001-98;;;;Paranoá (Cerrado);Socorro;98667-9448
3;Ageplan;SEM LOCAL DEFINIDO;09.467.637/0001-67;;;;Asa Norte (Cerrado);Francisco;98170-5587
4;Arcan;SEM LOCAL DEFINIDO;09.432.978/0001-05;;;;Candangolândia;Moises;Sem contato
;;;;;;;(Cerrado);;
5;Cooperide;SEM LOCAL DEFINIDO;;;;;;Pedro;
6;Cooperlivre;SEM LOCAL DEFINIDO;;;21;21;;;
7;Planalto;SEM LOCAL DEFINIDO;10.553.313/0001-20;;8;8;Sobradinho;Ricardo;9816-3607
8;Pop de Rua;SEM LOCAL DEFINIDO;26.793.854/0001-66;;;;Paranoá (não declarou local);Mairla;9353-5175
9;Recicla Mais;Sobradinho I - Nova Colina;32.718.944/0001-95;;15;15;Sobradinho;Alessandra;99216-5858
10;Sonho de Liberdade;Santa Luzia - Estrutural;10.940.124/0001-00;;40;40;SCIA;Fernando;8449-3255
;Subtotal;;;0;114;114;;;
