Nº;Contrato;Empresa;;Data de;;Objeto;;;;Data do;;Valor (R$);;;Executores e Suplentes;;
;;;;assinatura / Início;;;;;;término da;;;;;;;
;;;;da vigência;;;;;;vigência;;;;;;;
1;22/2010;AR (CONDOMÍNIO);17/09/2010;;;Aluguel da sede – 6º andar;;;18/09/2025;;;;Mensal: R$ 125.321,54;;;VITÁLIA DE OLIVEIRA MORAIS /;
;;;;;;;;;;;;;ANUAL: R$ 1.503.858,48;;;NATÁLIA TEIXEIRA GONÇALVES;
2;16/2016;APIS;20/09/2016;;;Suporte de link de comunicação;;;20/09/2021;;;Mensal: R$ 5.157.00 Anual: R$ 61.884,00;;;ANGELO O. L. DA SILVA / ANDRÉ WILSON PIMENTA SANTANA;;
3;04/2017;CEB DISTRIBUIÇÃO;16/03/2017;;;Demanda e fornecimento de energia elétrica para o Aterro Controlado do Jóquei;;;16/03/2022;;;Total: R$ 275.000,00;;;ALLAN ADJUTO CHAVES SOUSA / VINÍCIUS DE ABREU MENDONÇA;;
4;05/2017;CEB DISTRIBUIÇÃO;16/03/2017;;;;Demanda e fornecimento de energia;;16/03/2022;;;Total: R$ 275.000,00;;;MARIA DE JESUS DA SILVA / VITÁLIA DE OLIVEIRA MORAIS;;
;;;;;;;elétrica para o Setor de Garagens;;;;;;;;;;
;;;;;;;Oficiais;;;;;;;;;;
5;08/2017;CEB DISTRIBUIÇÃO;02/06/2017;;;;Demanda e fornecimento de energia;;01/06/2022;;;Total: R$ 290.000,00;;;;VICTOR BRUZZI MORAIS;
;;;;;;;elétrica para o Aterro Sanitário de;;;;;;;;;CÂNDIDO / ANDRÉA RODRIGUES;
;;;;;;;Brasília;;;;;;;;;DE ALMEIDA;
6;21/2017;G10 DISTRIBUIÇÃO LTDA – EPP;26/07/2017;;;;Locação de galpão para Instalação de;;27/07/2021;;;Mensal: R$ 20.900,00 Anual: R$ 250.800,00;;;OTAVIANO PEDROZO NETO / BRUNA KARLA SOARES ARAUJO;;
;;;;;;;Centro de Triagem – SCIA, Guará,;;;;;;;;;;
;;;;;;;Brasília/DF;;;;;;;;;;
7;27/2017;SÃO GERALDO MATERIAIS DE CONSTRUÇÃO LTDA.;02/10/2017;;;Locação de terreno com galpão para a instalação de Centro de Triagem, localizado no Setor de Indústria e Abastecimento (SAI) – Trecho 17, Rua 08, Lote 105, Brasília/DF;;;02/10/2021;;;Mensal R$ 20.430,00 Anual R$ 281.129,68;;;FERNANDA FERREIRA DE SOUSA / JOSÉ ROMILDO DOS SANTOS / JOSÉ NILTON A. DA SILVA / AILTON OLIVEIRA ROCHA;;
8;30/2017;NAVARRO PROCESSAMENTO DE DADOS LTDA – ME;17/10/2017;;;Locação de galpão para instalação de Centro de Triagem no Setor de Armazenamento e Abastecimento Norte (SAAN), Brasília/DF;;;17/10/2021;;;Mensal: R$ 28.215,00 Anual: R$368.631,72;;;ANDRE LUIZ JUNQUEIRA GUIMARÃES / ANA CRISTINA CAVALCANTE ARANHA;;
9;30/2018;NOTORIUN TECNOLOGIA EM SOFTWARE LTDA - EPP;16/05/2019;;;Empresa Especializada em geração de relatórios;;;16/05/2022;;;R$ 2.200.000,00;;;LEANDRO HENRIQUE ANTUNES DE CARVALHO / GLEICIMARA CHAGAS LUSTOSA;;
10;51/2018;TECNOLTA EQUIPAMENTOS ELETRÔNICOS;01/07/2019;;;Serviços Outsourcing de impressão;;;30/06/2022;;;R$ 269.234,48;;;FERNANDO SABINO AMORIM / ANTONIO JOSÉ CORREA;;
