Nº;Contrato;Empresa;;Data de;;Objeto;;;Data do término da vigência;Valor (R$);Executores e Suplentes;;
;;;;assinatura/ Início;;;;;;;;;
;;;;da vigência;;;;;;;;;
1;27/2019;AG CONSTRUÇÕES;18/11/2019;;;Construção PEV Águas Claras;;;18/05/2022;R$ 172.846,56;;EDMUNDO PACHECO GADELHA /;
;;;;;;;;;;;;DANIEL MARLON RODRIGUES;
;;;;;;;;;;;;GUEDES / RANIELLE LINHARES DA;
;;;;;;;;;;;;SILVA;
2;02/2021;GAE CONSTRUÇÃO E COMERCIO;23/02/2021;;;;Construção dos Reservatórios de;;22/02/2022;R$ 861.557,41;;EDMUNDO PACHECO GADELHA /;
;;;;;;;Quantidade e Qualidade (RQQ 01 e RQQ;;;;;FERNANDA FERREIRA DE SOUSA /;
;;;;;;;02), localizados no Aterro Sanitário de;;;;;GLAYSON LUIZ ALVERANGA;
;;;;;;;Brasília - ASB, Rodovia DF180, Km 21,;;;;;CHAMIÇO / HENRIQUE CAMPOS;
;;;;;;;Brasília - DF.;;;;;AMARAL OLIVEIRA;
