Nº;Contrato;Empresa;Data de assinatura/início da vigência;Objeto;;;Data do término da vigência;Valor (R$);;Executores e Suplentes
1;02/2016;AGIEL;25/02/2021;Contratação de estagiários;;;24/02/2022;Mensal: R$ 41.869,69 Anual: R$ 502.436,28;;PATRÍCIA LEMOS XAVIER / SIRLANE ALVES DA SILVA
2;01/2017;COMISSÃO JOVEM GENTE COMO A GENTE;02/01/2017;Contratação de associação de pessoas com deficiência física, para dar suporte às unidades da estrutura do SLU;;;02/01/2022;Mensal: 184.347,52 Anual: 2.212.170,24;;PATRÍCIA LEMOS XAVIER/ SIRLANE ALVES DA SILVA/ LUCIMAR GOMES DA SILVA
3;12/2019;FUNAP;08/05/2019;;Fornecimento de mão de obra de;;08/05/2022;;Mensal: R$: 16.603,40 Total: R$: 199.240,80;LINCOLN CORREIA CABRAL
;;;;;reeducando em regime semiaberto;;;;;
4;16/2021;FRAL CONSULTORIA LTDA;16/08/2021;Serviços de assessoria, consultoria, orientação e assistência operacional em apoio à fiscalização das atividades gerais do aterro sanitário de Brasília;;;16/08/2022;Mensal: R$ 28.351,94 Total: R$ 340.223,28;;ANDRÉA RODRIGUES DE ALMEIDA / ISABELA LUSTZ PORTELA LIMA / JULIANA FRUTUOSO GOMES / LEONARDO YAMADA ARANTES
5;18/2021;DMP COMERCIO E SERVICOS TECNICOS EIRELI;01/09/2021;;Aquisição de material de consumo de;;29/11/2021;Total: R$ 3.197,78;;SIRLANE ALVES DA SILVA / AMANDA GOMES MARTINS
;;;;;sinalização visual e afins (crachá, cordão,;;;;;
;;;;;porta crachá, etiquetas de identificação de;;;;;
;;;;;visitantes);;;;;
6;32/2021;COMISSÃO JOVEM GENTE COMO A GENTE;03/01/2022;;Contratação de associação de pessoas;;03/01/2023;R$ 2.713.569,80;;PATRICIA LEMOS XAVIER / LUCIMAR GOMES DA SILVA / AMANDA GOMES MARTINS
;;;;;com deficiência física, para dar suporte às;;;;;
;;;;;unidades do SLU;;;;;
