;Empresa;;;Jan;;;Fev;;;Mar;;Abr;;;Mai;;;Jun;;;Jul;;;Ago;;;Set;;;Out;;;Nov;;;Dez;;;TOTAL;
;CEB;;;R$ 56.727;;;R$ 47.089;;;R$ 32.255;;R$ 59.980;;;R$ 66.472;;;R$ 1.629;;;R$ 51.741;;;R$ 61.276;;;R$ 60.480;;;R$ 56.011;;;R$ 62.535;;;R$ 76.780;;;R$ 499.619;
Caesb;;;R$ -;;;R$ 15.366;;;R$ 17.560;;R$ 20.098;;;R$ 20.370;;;R$ 19.676;;;R$ 24.211;;;R$ 27.351;;;R$ 23.072;;;R$ 21.633;;;R$ 26.525;;;R$ 26.425;;;R$ 167.704;;
;Telefonia;;R$ -;;;R$ 5.468;;;R$ 5.476;;R$ 14.567;;;R$ 11.223;;;R$ 11.299;;;R$ 11.177;;;R$ 11.158;;;R$ 11.161;;;R$ 5.322;;;R$ 5.560;;;R$ -;;;R$ 81.529;;
;Fixa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Telefonia Móvel;;;R$ -;;;R$ -;;;R$ -;;R$ -;;;R$ -;;;R$ -;;;R$ -;;;R$ -;;;R$ -;;;R$ -;;;R$ -;;;R$ -;;;R$ -;;
;TLP;;;R$ -;;;R$ -;;;R$ -;;R$ -;;;R$ -;;;R$ -;;;R$ -;;;R$ -;;;R$ -;;;R$ -;;;R$ -;;;R$ -;;;R$ -;
IPTU;;;R$ -;;;R$ -;;;R$ -;;R$ -;;;R$ -;;;R$ 61.620;;;R$ -;;;R$ -;;;R$ -;;;R$ -;;;R$ -;;;R$ -;;;R$ 61.620;;
;Total;;R$ 56.727;;;R$ 67.923;;;R$ 55.291;;R$ 94.644;;;R$ 98.065;;;R$ 94.225;;;R$ 87.129;;;R$ 99.786;;;R$ 94.713;;;R$ 82.966;;;R$ 94.620;;;R$ 103.205;;;R$ 1.091.263;;
;mensal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
