ATIVIDADE;;;UNIDADE;2017;2018;2019;2020;2021
Coleta dos resíduos domiciliares e comerciais;;;T;828.765;800.685;782.125;786.122,0;729.082,72
;Coleta, tratamento e destinação dos resíduos de;;T;2.165;2.417;2.513;3.130,2;506,8
;serviços de saúde;;;;;;;
;Coleta dos resíduos de remoção (coleta corretiva);;T;636.005;438.079;425.175;615.760,8;612.086,0
;(manual + mecanizada);;;;;;;
Varrição manual de vias e logradouros públicos;Varrição manual de vias e logradouros públicos;;km;1.284.173;1.204.297;1.193.036;1.039.063,1;1.053.705,3
;Varrição mecanizada de vias e logradouros;;km;41.288;42.187;61.407;152.814,3;171.517,1
;públicos;;;;;;;
Pintura de meios-fios;Pintura de meios-fios;;Equipe;71,30;75,40;78,70;70,56;118,40
Lavagem de vias e logradouros públicos;;;Equipe;72,00;72,19;78,70;71,62;73,67
Limpeza de Equipamentos e Bens Públicos;;;Equipe;-;-;-;47,32;47,96
Catação de papel em áreas verdes;;;Equipe;363,70;414,64;411,99;323,80;97,67
;Limpeza Pós-eventos e Coleta de Resíduos de;;T;-;-;-;107,25;97,67
;Caixa de Gordura;;;;;;;
Resíduos processados em usinas de tratamento;Resíduos processados em usinas de tratamento;;T;230.916;238.851;225.357;228.422;251.348
Resíduos domiciliares aterrados;;;T;809.085;784.460;800.872;821.090;760.781
Coleta de animais mortos;;;T;63,06;83,00;76,18;65,84;76,82
Coleta seletiva;;;T;29.968;28.549;28.522;18.311,03;31.865,72
Transferência de resíduos;;;km x ton;17.004.130;18.072.534;21.468.117;35.193.461;31.692.294
Resíduos de entulhos aterrados na URE;;;T;-;1.303.662;1.423.028;1.589.393,18;1.466.145,31
Transporte de chorume;;;Viagem;-;946;1.542;-;-
Retirada de rejeitos das IRRs;;;Viagem;-;-;-;3.517,00;19.961,76
Retirada de entulhos dos PEVs;;;Equipe;-;4,916;17,89;54,88;59,88
Tratamento de chorume;;;m³;-;-;18.588;398.489,35;306.152,40
