7.1.1 COLETA E TRANSPORTE MECANIZADO DE ENTULHO DOS PAPA-ENTULHOS (EM TONELADAS);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;JAN;;;;FEV;;;;;MAR;;;;;ABR;;;;;;MAI;;;;;;JUN;;;;;;JUL;;;;;AGO;;;;;;SET;;;;;;OUT;;;;;NOV;;;;;DEZ;;;Total;;;;;Média;
PEV Águas Claras;;;-;;;;-;;;;;-;;;;;-;;;;;;8,850;;;;;;63,660;;;;;;88,380;;;;;120,730;;;;;;120,710;;;;;;107,010;;;;;140,080;;;;;129,770;;;779,19;;;;;97,40;;
PEV Asa Sul;;;78,900;;;;95,540;;;;;104,390;;;;;85,350;;;;;;78,790;;;;;;76,850;;;;;;106,840;;;;;89,450;;;;;;98,300;;;;;;103,720;;;;;71,250;;;;;96,840;;;1086,22;;;;;90,52;;
PEV Brazlândia 1;;;23,060;;;;17,850;;;;;20,680;;;;;32,470;;;;;;19,490;;;;;;15,920;;;;;;28,550;;;;;21,600;;;;;;22,950;;;;;;17,410;;;;;24,740;;;;;12,900;;;257,62;;;;;21,47;;
PEV Brazlândia 2;;;20,770;;;;11,550;;;;;17,280;;;;;8,330;;;;;;21,000;;;;;;24,060;;;;;;17,460;;;;;14,150;;;;;;8,670;;;;;;5,750;;;;;15,320;;;;;9,990;;;174,33;;;;;14,53;;
PEV Ceilândia 1;;;432,020;;;;299,280;;;;;356,560;;;;;337,100;;;;;;286,620;;;;;;316,100;;;;;;313,850;;;;;313,630;;;;;;334,930;;;;;;301,760;;;;;268,360;;;;;281,900;;;3842,11;;;;;320,18;;
PEV Ceilândia 2;;;237,740;;;;179,780;;;;;250,190;;;;;234,460;;;;;;282,840;;;;;;149,060;;;;;;192,620;;;;;250,240;;;;;;220,000;;;;;;229,570;;;;;178,120;;;;;205,520;;;2610,14;;;;;217,51;;
PEV Gama;;;210,400;;;;155,800;;;;;206,080;;;;;203,770;;;;;;218,560;;;;;;202,300;;;;;;274,370;;;;;253,050;;;;;;239,310;;;;;;206,820;;;;;192,110;;;;;221,460;;;2584,03;;;;;215,34;;
PEV Guará;;;231,200;;;;236,620;;;;;300,410;;;;;341,040;;;;;;300,850;;;;;;290,320;;;;;;349,440;;;;;330,760;;;;;;345,910;;;;;;355,160;;;;;321,110;;;;;332,680;;;3735,50;;;;;311,29;;
PEV Planaltina;;;156,810;;;;147,510;;;;;181,370;;;;;187,220;;;;;;209,120;;;;;;184,100;;;;;;170,650;;;;;186,770;;;;;;183,850;;;;;;177,620;;;;;156,630;;;;;128,390;;;2070,04;;;;;172,50;;
PEV Pôr do sol;;;88,570;;;;91,830;;;;;141,090;;;;;123,550;;;;;;103,640;;;;;;101,440;;;;;;101,120;;;;;82,250;;;;;;63,790;;;;;;61,230;;;;;76,540;;;;;85,590;;;1120,64;;;;;93,39;;
PEV Santa Maria;;;-;;;;-;;;;;99,540;;;;;73,160;;;;;;94,650;;;;;;109,580;;;;;;120,480;;;;;99,990;;;;;;84,140;;;;;;97,710;;;;;100,000;;;;;126,610;;;1005,86;;;;;100,59;;
PEV Taguatinga;;;283,670;;;;262,240;;;;;318,020;;;;;334,340;;;;;;326,590;;;;;;338,640;;;;;;313,730;;;;;329,100;;;;;;326,510;;;;;;319,670;;;;;277,590;;;;;320,100;;;3750,20;;;;;312,52;;
;Total;;;1.763,14;;;;1.498,00;;;;;1.995,61;;;;;1.960,79;;;;;;1.951,00;;;;;;1.872,03;;;;;;2.077,49;;;;;2.091,72;;;;;;2.049,07;;;;;;1.983,43;;;;;1.821,85;;;;;1.951,75;;;23.015,88;;;;;163,94;
7.1.2 COLETA E REMOÇÃO DE RESÍDUOS DE PODAS (EM TONELADAS);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;JAN;;;FEV;;;;MAR;;;;;ABR;;;;;MAI;;;;;;JUN;;;;;;JUL;;;;;;AGO;;;;;SET;;;;;;OUT;;;;;;NOV;;;;;DEZ;;;;Total;;;;Média;;;
PEV Águas Claras;;;-;;;-;;;;-;;;;;-;;;;;0,000;;;;;;2,270;;;;;;7,530;;;;;;4,680;;;;;4,050;;;;;;8,230;;;;;;7,950;;;;;8,370;;;;;43,08;;;5,39;;;;
PEV Asa Sul;;;7,800;;;8,740;;;;8,360;;;;;7,290;;;;;10,860;;;;;;16,140;;;;;;10,140;;;;;;6,330;;;;;8,470;;;;;;8,800;;;;;;10,700;;;;;17,320;;;;;120,95;;;10,08;;;;
PEV Brazlândia 1;;;1,640;;;1,240;;;;0,000;;;;;1,150;;;;;2,400;;;;;;1,380;;;;;;1,240;;;;;;4,700;;;;;9,140;;;;;;0,770;;;;;;14,100;;;;;11,690;;;;;49,45;;;4,12;;;;
PEV Brazlândia 2;;;0,000;;;1,630;;;;0,920;;;;;0,760;;;;;0,000;;;;;;0,000;;;;;;0,000;;;;;;0,000;;;;;2,410;;;;;;1,150;;;;;;0,000;;;;;1,830;;;;;8,70;;;0,73;;;;
PEV Ceilândia 1;;;18,340;;;23,690;;;;19,280;;;;;14,590;;;;;17,110;;;;;;14,260;;;;;;16,020;;;;;;13,570;;;;;17,160;;;;;;16,920;;;;;;9,650;;;;;6,020;;;;;186,61;;;15,55;;;;
PEV Ceilândia 2;;;2,170;;;1,250;;;;0,000;;;;;1,130;;;;;1,650;;;;;;2,140;;;;;;0,000;;;;;;4,250;;;;;6,360;;;;;;11,100;;;;;;11,210;;;;;14,070;;;;;55,33;;;4,61;;;;
PEV Gama;;;18,130;;;18,350;;;;19,530;;;;;12,430;;;;;10,660;;;;;;13,800;;;;;;14,100;;;;;;14,380;;;;;10,160;;;;;;18,170;;;;;;17,420;;;;;23,170;;;;;190,30;;;15,86;;;;
PEV Guará;;;12,330;;;17,020;;;;18,370;;;;;16,180;;;;;10,770;;;;;;10,040;;;;;;10,780;;;;;;11,290;;;;;12,680;;;;;;13,430;;;;;;17,900;;;;;23,190;;;;;173,98;;;14,50;;;;
PEV Planaltina;;;6,080;;;7,770;;;;12,120;;;;;10,670;;;;;10,470;;;;;;5,750;;;;;;9,560;;;;;;9,190;;;;;2,750;;;;;;8,640;;;;;;3,670;;;;;8,310;;;;;94,98;;;7,92;;;;
PEV Pôr do sol;;;5,750;;;2,460;;;;5,140;;;;;7,140;;;;;3,710;;;;;;6,520;;;;;;2,030;;;;;;7,140;;;;;6,210;;;;;;4,550;;;;;;1,490;;;;;11,100;;;;;63,24;;;5,27;;;;
PEV Santa Maria;;;-;;;-;;;;5,380;;;;;4,430;;;;;5,410;;;;;;5,260;;;;;;3,220;;;;;;1,650;;;;;5,460;;;;;;2,730;;;;;;0,000;;;;;11,830;;;;;45,37;;;4,54;;;;
PEV Taguatinga;;;30,990;;;27,070;;;;36,110;;;;;30,880;;;;;21,070;;;;;;23,830;;;;;;23,770;;;;;;20,820;;;;;26,400;;;;;;36,970;;;;;;34,080;;;;;31,110;;;;;343,10;;;28,59;;;;
;Total;;;103,23;;;109,22;;;;125,21;;;;;106,65;;;;;94,11;;;;;;101,39;;;;;;98,39;;;;;;98,00;;;;;111,25;;;;;;131,46;;;;;;128,17;;;;;168,01;;;;1.375,09;;;;9,76;;;
