;;;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;;DEZ;;;Total;;;Média;
;PEV;;;-;;;-;;;-;;;-;;;0,000;;;6,160;;;8,480;;;2,800;;;6,380;;;8,640;;;11,000;;;15,090;;;58,55;;;7,32;;
;Águas Claras;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PEV Asa Sul;PEV Asa Sul;;;16,530;;;11,250;;;11,230;;;12,480;;;8,930;;;10,830;;;18,800;;;9,290;;;15,850;;;18,810;;;17,670;;;18,470;;;170,14;;;14,18;;
;PEV;;;1,640;;;2,730;;;2,180;;;3,960;;;0,000;;;0,000;;;2,150;;;6,560;;;11,090;;;5,580;;;5,490;;;0,000;;;41,38;;;3,45;;
;Brazlândia 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;PEV;;;0,000;;;0,000;;;0,000;;;0,000;;;1,450;;;2,860;;;0,000;;;1,800;;;2,180;;;0,000;;;0,000;;;4,840;;;13,13;;;1,09;;
;Brazlândia 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;PEV;;;56,380;;;38,340;;;29,000;;;9,620;;;5,300;;;7,740;;;11,460;;;8,730;;;22,650;;;18,840;;;14,550;;;14,760;;;237,37;;;19,78;;
;Ceilândia 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;PEV;;;10,810;;;11,040;;;30,190;;;28,660;;;26,680;;;20,300;;;16,800;;;13,500;;;8,260;;;8,910;;;12,690;;;43,630;;;231,47;;;19,29;;
;Ceilândia 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PEV Gama;PEV Gama;;;28,830;;;29,360;;;19,120;;;19,390;;;16,110;;;18,700;;;13,530;;;8,870;;;3,910;;;23,610;;;19,630;;;26,360;;;227,42;;;18,95;;
PEV Guará;;;;24,510;;;21,930;;;17,860;;;26,020;;;23,810;;;16,330;;;17,790;;;17,780;;;29,170;;;30,750;;;31,150;;;39,410;;;296,51;;;24,71;;
PEV Planaltina;;;;7,510;;;10,980;;;15,260;;;6,510;;;10,640;;;7,870;;;8,300;;;12,870;;;9,300;;;8,990;;;10,680;;;12,390;;;121,30;;;10,11;;
PEV Pôr do sol;;;;2,460;;;1,290;;;17,980;;;13,170;;;13,590;;;4,420;;;14,870;;;14,650;;;5,530;;;11,210;;;6,480;;;6,610;;;112,26;;;9,36;;
;PEV;;;-;;;-;;;18,630;;;5,610;;;11,330;;;9,760;;;4,990;;;17,230;;;12,780;;;8,090;;;9,410;;;14,370;;;112,20;;;11,22;;
;Santa Maria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PEV Taguatinga;;;;47,740;;;32,790;;;29,410;;;25,210;;;35,640;;;56,830;;;25,410;;;12,490;;;30,420;;;28,670;;;30,800;;;35,890;;;391,30;;;32,61;;
;Total;;;;196,41;;;159,71;;;190,86;;;150,63;;;153,48;;;161,80;;;142,58;;;126,57;;;157,52;;;172,10;;;169,55;;;231,82;;;2.013,03;;;14,34;
7.1.4 LOCALIZAÇÃO DOS PAPA-ENTULHOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
