Quantitativos mensais recepcionados no ASB (em quilogramas);;;;;;;;;;;;;;;;;;;;
;;;;Res. sól.;;;Caixa de gordura;;;Animais mortos;;Caesb (kg);;;;Grandes;;Total (t);;
;;;;domiciliares (kg);;;(kg);;;(kg);;;;;;Geradores (kg);;;;
;Janeiro;;66.701.400,0;;;8.190,0;;;6.290,0;;;794.010,0;;;1.501.110,0;;;69.011.000,0;;
;Fevereiro;;60.500.310,0;;;8.650,0;;;3.390,0;;;927.170,0;;;1.821.330,0;;;63.260.850,0;;
Março;;;65.668.510,0;;;7.960,0;;;6.270,0;;;1.174.860,0;;;1.585.940,0;;;68.443.540,0;;
;Abril;;59.849.040,0;;;7.510,0;;;4.760,0;;;689.240,0;;;1.630.510,0;;;62.181.060,0;;
;Maio;;56.052.460,0;;;9.830,0;;;6.780,0;;;287.820,0;;;1.746.030,0;;;58.102.920,0;;
;Junho;;56.698.470,0;;;9.970,0;;;4.680,0;;;709.620,0;;;1.792.280,0;;;59.215.020,0;;
;Julho;;55.802.400,0;;;8.440,0;;;7.320,0;;;822.600,0;;;1.805.470,0;;;58.446,23;;
;Agosto;;56.130.680,0;;;10.260,0;;;3.840,0;;;505.470,0;;;1.812.290,0;;;58.462,54;;
;Setembro;;55.565.250,0;;;6.520,0;;;7.620,0;;;715.280,0;;;1.827.210,0;;;58.121,88;;
;Outubro;;61.291.340,0;;;8.510,0;;;9.250,0;;;816.730,0;;;2.432.170,0;;;64.558,00;;
;Novembro;;62.580.660,0;;;5.380,0;;;7.920,0;;;801.830,0;;;2.078.480,0;;;65.474,27;;
;Dezembro;;72.130.220,0;;;6.690,0;;;8.950,0;;;876.770,0;;;2.463.090,0;;;75.485,72;;
;Total;;;728.970.740;;;97.910;;;77.070;;;9.121.400;;;22.495.910;;;760.763,03;
