NÚMERO DE VIAGENS;;;;;;;;;;;;;
Mês;Remoção Manual;;;Remoção Mecanizada;;;Remoção PEV;;;Outros;;;Total
Janeiro;844;;3.671;;;511;;;12.060;;;17.086;
Fevereiro;817;;3.485;;;457;;;10.742;;;15.501;
Março;913;;4.013;;;607;;;13.864;;;19.397;
Abril;850;;3.799;;;565;;;12.659;;;17.873;
Maio;1.074;;3.598;;;530;;;12.476;;;17.678;
Junho;1.076;;3.642;;;511;;;12.238;;;17.467;
Julho;1.106;;3.673;;;545;;;13.083;;;18.407;
Agosto;1.064;;3.618;;;536;;;13.461;;;18.679;
Setembro;1.067;;3.571;;;556;;;12.170;;;17.364;
Outubro;1.063;;3.604;;;553;;;11.038;;;16.258;
Novembro;1.127;;3.318;;;490;;;11.292;;;16.227;
Dezembro;1.275;;3.287;;;540;;;12.445;;;17.547;
TOTAL;12.276;;;43.279;;;6401;;;147.528;;;209.484
