PESO LÍQUIDO POR MÊS (EM TONELADAS);;;;;;;;;;;;;
Mês;Remoção Manual;;;Remoção Mecanizada;;;Remoção PEV;;;Outros;;;Total
Janeiro;971,37;;47.534,51;;;2.062,78;;;61.580,49;;;112.149,15;
Fevereiro;947,67;;45.923,89;;;1.766,93;;;57.711,24;;;106.349,73;
Março;1.049,86;;50.616,25;;;2.311,68;;;74.243,26;;;128.221,05;
Abril;987,92;;55.137,82;;;2.218,07;;;76.141,64;;;134.485,45;
Maio;1.424,02;;49.803,05;;;2.198,59;;;69.669,53;;;123.095,19;
Junho;1.513,38;;50.880,75;;;2.135,22;;;70.884,78;;;125.414,13;
Julho;1.526,40;;51.716,78;;;2.318,46;;;71.874,33;;;127.435,97;
Agosto;1.513,59;;53.023,23;;;2.316,29;;;75.987,00;;;132.840,11;
Setembro;1.513,70;;48.778,39;;;2.317,84;;;67.452,02;;;120.061,95;
Outubro;1.470,97;;50.550,82;;;2.286,99;;;61.368,08;;;115.676,86;
Novembro;1.696,18;;47.043,46;;;2.119,57;;;64.304,60;;;115.163,81;
Dezembro;1.919,34;;44.542,67;;;2.351,58;;;76.438,32;;;125.251,91;
TOTAL;16.534,4;;;595.551,62;;;26.404;;;827.655,29;;;1.466.145,31
