PESO LÍQUIDO POR MÊS;;;;;;;;;;;;;;;;;;;;
Mês;;;Pó/Areia;;;Brita 1;;;Brita 2;;;Brita 3;;;Rachão;;;Total;;
;Janeiro;;0,00;;;798,82;;;1.783,55;;;0,00;;;33,31;;;2.615,68;;
;Fevereiro;;0,00;;;1803,45;;;1.016,56;;;9,11;;;878,65;;;3.707,77;;
;Março;;0,00;;;726,38;;;2910,18;;;19,18;;;2.258,78;;;5.914,52;;
;Abril;;321,11;;;1658,18;;;6.454,94;;;153,84;;;2.005,33;;;10.593,40;;
;Maio;;0,00;;;928,94;;;7.917,51;;;1.141,48;;;238,04;;;10.225,97;;
;Junho;;0,00;;;2020,95;;;5.002,24;;;1.001,96;;;2.017,10;;;10.042,25;;
;Julho;;78,76;;;1982,02;;;5.444,74;;;1.180,62;;;225,47;;;8.911,61;;
;Agosto;;10,93;;;2052,61;;;6.437,56;;;450,95;;;779,80;;;9.731,85;;
;Setembro;;0,00;;;426,30;;;1.434,11;;;121,46;;;10,78;;;1.992,65;;
;Outubro;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;
;Novembro;;0,00;;;0,00;;;84,24;;;48,34;;;116,64;;;249,22;;
;Dezembro;;0,00;;;0,00;;;0,00;;;23,94;;;0,00;;;23,94;;
;TOTAL;;;410,8;;;1.2397,65;;;38.485,63;;;4.150,88;;;8.563,9;;;64.008,86;
