PESO LÍQUIDO POR MÊS;;;;;;;;;;;;;;;;;;;;;;;
;Mês;;;Pó/areia;;;Brita 1;;;Brita 2;;;Brita 3;;;Brita 4;;;Rachão;;;Total;
;Janeiro;;3397,63;;;4178,48;;;1.934,63;;;2.539,70;;;-;;;6.415,49;;;18.465,93;;
;Fevereiro;;1844,12;;;2972,96;;;1.382,19;;;1.839,69;;;-;;;5.369,08;;;13.408,04;;
;Março;;4200,27;;;4299,15;;;3082,65;;;3.073,88;;;-;;;10.283,43;;;24.939,38;;
;Abril;;5772,90;;;6130,94;;;3.205,16;;;3.376,99;;;-;;;9.398,23;;;27.884,22;;
;Maio;;9070,31;;;5481,34;;;2.461,23;;;2.593,67;;;-;;;10.579,09;;;30.185,64;;
;Junho;;9741,28;;;5481,34;;;2.461,23;;;2.130,66;;;-;;;9.477,71;;;29.292,22;;
;Julho;;11601,99;;;6199,92;;;2.276,83;;;2.328,81;;;-;;;12.642,91;;;35.050,46;;
;Agosto;;12512,34;;;5170,86;;;2.180,64;;;2.213,38;;;-;;;11.100,44;;;33.177,66;;
;Setembro;;11671,81;;;3971,79;;;1.741,34;;;1.840,33;;;-;;;9.172,23;;;28.397,50;;
;Outubro;;8153,53;;;5621,12;;;1.659,10;;;2.273,93;;;0,00;;;9.251,08;;;26.958,76;;
;Novembro;;3938,69;;;4041,29;;;2.059,08;;;2.474,44;;;0,00;;;6.675,95;;;19.189,45;;
;Dezembro;;5065,57;;;776,05;;;2.601,70;;;2.053,18;;;2.081,07;;;3.916,93;;;16.494,50;;
;TOTAL;;;8.6970,44;;;5.4325,24;;;27.045,78;;;28.738,66;;;2.081,07;;;104.282,57;;;303.443,76;
