UTMB PSul - Unidade de Tratamento Mecânico Biológico da Ceilândia (Psul) (2021);;;;;
Mês;;;OPERAÇÃO E MANUTENÇÃO;Custo por tonelada;Custo Total
;Janeiro;;R$ 324.259,55;R$ 62,43;R$ 324.259,55
;Fevereiro;;R$ 380.414,71;R$ 62,43;R$ 380.414,71
;Março;;R$ 368.375,71;R$ 62,43;R$ 368.375,71
;Abril;;R$ 338.421,79;R$ 62,43;R$ 338.421,79
;Maio;;R$ 398.222,09;R$ 62,43/ R$ 58,56;R$ 398.222,09
;Junho;;R$ 397.841,41;R$ 58,56;R$ 397.841,41
;Julho;;R$ 245.622,31;R$ 58,56;R$ 245.622,31
;Agosto;;R$ 323.165,12;R$ 58,56;R$ 323.165,12
;Setembro;;R$ 375.284,04;R$ 61,79;R$ 375.284,04
;Outubro;;R$ 445.139,49;R$ 61,79;R$ 445.139,49
;Novembro;;R$ 506.760,49;R$ 61,09;R$ 506.760,49
;Dezembro;;R$ 506.633,23;R$ 58,58;R$ 506.633,23
TOTAL;;;R$ 4.610.139,93;;R$ 4.610.139,93
Média Mensal;;;R$ 384.178,33;;R$ 384.178,33
