Nº SEI;Descrição;Status
00094-00002909/2019-82;Realizados estudos técnicos para aditamento do Contrato Nº 18/2019 para realização de alterações. Produzida Nota Técnica N.º 17/2021 - SLU/PRESI/DITEC/GTREPAC.;2º Termo Aditivo ao Contrato
00094-00002909/2019-82;Realizados estudos técnicos para repactuação de mão de obra e insumos ao Contrato Nº 18/2019 (Lote 1). Produzidas Notas Técnicas N.º 29/2021, 37/2021, 45/2021 - SLU/PRESI/DITEC/GTREPAC.;3º Termo de Apostilamento ao Contrato
00094-00002911/2019-51;Realizados estudos técnicos para repactuação de mão de obra e insumos ao Contrato Nº 24/2019 (Lote 3). Produzidas Notas Técnicas N.º 30/2021, 35/2021, 42/2021 - SLU/PRESI/DITEC/GTREPAC.;3º Termo de Apostilamento ao Contrato
00094-00011351/2018-45;Realizados estudos técnicos para aditamento do Contrato Nº 21/2020 para correção dos parâmetros de velocidade média dos veículos. Produzida Nota Técnica N.º 43/2021 - SLU/PRESI/DITEC/GTREPAC.;Estudos Técnicos Concluídos
00094-00002910/2019-15;Realizados estudos técnicos para repactuação de mão de obra e insumos ao Contrato Nº 19/2019 (Lote 2). Produzidas Notas Técnicas N.º 28/2021, 33/2021, 44/2021 - SLU/PRESI/DITEC/GTREPAC.;4º Termo de Apostilamento ao Contrato
00094-00005907/2021-60;Realizados cálculos de apoio à Comissão de Executores do Contrato Nº 24/2019, visando a glosa de valores pagos.;Estudos Técnicos Concluídos
00094-00002910/2019-15;Realizados estudos técnicos para aditamento do Contrato Nº 19/2019 (Lote 2) para correção dos parâmetros de velocidade média dos veículos. Produzidas as Notas Técnicas N.º 56/2021 e N.º 58/2021 - SLU/PRESI/DITEC/GTREPAC.;Estudos Técnicos Concluídos
00094-00011351/2018-45;Realizados estudos técnicos para revalidação da proposta de preços e prorrogação do Contrato Nº 21/2020. Produzida Nota Técnica N.º 34/2021 - SLU/PRESI/DITEC/GTREPAC.;2º Termo Aditivo ao Contrato
00094-00011351/2018-45;Realizados estudos técnicos para repactuação de insumos ao Contrato Nº 21/2020. Produzida Nota Técnica N.º 54/2021 - SLU/PRESI/DITEC/GTREPAC.;2º Termo de Apostilamento ao Contrato
00094-00006731/2019-49;Realizados estudos técnicos para repactuação de insumos ao Contrato Nº 54/2018 (URE). Produzida Nota Técnica N.º 57/2021 - SLU/PRESI/DITEC/GTREPAC.;2º Termo de Apostilamento ao Contrato
00094-00004149/2021-62;Realizados estudos técnicos para aditamento do Contrato Nº 18/2019 para inclusão de coleta de contêineres semienterrados no Noroeste. Produzida Nota Técnica N.º 59/2021 - SLU/PRESI/DITEC/GTREPAC.;Estudos Técnicos Concluídos
