Contratos e resultados da triagem por cooperativa;;;;;
;VIGÊNCIA DO;Nº DO;VALOR UNITÁRIO POR;TONELADAS;VALOR PAGO
COOPERATIVA;;;;;
;CONTRATO;CONTRATO;TONELADA TRIADA;RECUPERADAS EM 2021;PELO CONTRATO
Cootraempocap – ASAS;mai/2021 a mai/2022;11/2021;R$ 353,58;1618,17;572.151,81
Acobraz;jun/2021 a jun/2022;34/2018;R$ 248,10;398,80;98.941,05
Ambiente;jul/2021 a jul/2022;08/2018;R$ 304,14;5610,60;1.706.408,37
Apcorc;nov/2020 a nov/2021;39/2018;R$ 248,10;4336,10;1.318.781,39
Cataguar;jun/2021 a jun/2022;32/2018;R$ 248,10;2294,05;569.154,98
Construir;jun/2021 a jun/2022;12/2018;R$ 304,14;2109,22;641.497,50
Coopativa;jun/2021 a jun/2022;36/2018;R$ 304,14;701,55;213.369,36
Cooperdife;jun/2021 a jun/2022;38/2018;R$ 248,10;1897,65;577.152,22
Coopere;jun/2021 a jun/2022;11/2018;R$ 304,14;955,33;290.553,80
Cooperlimpo;ago/2021 a jul/2022;09/2018;R$ 304,14;2312,39;703.289,99
Coopernoes;jun/2021 a jun/2022;07/2018;R$ 304,14;1054,39;320.682,40
Coorace;jul/2021 a jul/2022;03/2018;R$ 304,14;1160,89;353.074,20
Cortrap;jun/2021 a jun/2022;10/2018;R$ 304,14;990,18;301.153,83
Plasferro;jul/2020 a jul/2021;06/2018;R$ 304,14;2066,97;628.647,66
Recicla Brasília;jul/2020 a jul/2021;67/2018;R$ 248,10;779,13;236.964,27
Recicla Mais Brasil;jun/2020 a jun/2021;35/2018;R$ 304,14;845,11;257.032,52
