;Cooperativas de coleta seletiva inclusiva;;;;;
COOPERATIVA;;VIGÊNCIA DO CONTRATO;Nº DO CONTRATO;VALOR DO CONTRATO (ANUAL);RA ATENDIDA;
Recicle a Vida;;mai/2021 a mai/2022;05/2016*;R$ 400.063,44;Samambaia (parcial);
R3;;mai/2021 a mai/2022;07/2016*;R$ 383.183,52;Santa Maria (parcial);
Acobraz;;mai/2021 a mai/2022;06/2016;R$ 383.183,52;Brazlândia (parcial);
Renascer;;mai/2021 a mai/2022;08/2016;R$ 383.183,52;Candangolândia e Núcleo Bandeirante;
Recicla Brasília;;ago/2021 a jul/2022;64/2018;R$ 513.883,56;Lago Sul;
CRV;;ago/2021 a jul/2022;68/2018;R$ 477.533,16;Lago Norte e Varjão;
Coopere;;ago/2021 a jul/2022;04/2019;R$ 467.993,04;Riacho Fundo 1 e 2;
Ecolimpo;;ago/2021 a jul/2022;05/2019;R$ 434.479,20;São Sebastião;
Recicla Mais Brasil;;ago/2021 a jul/2022;01/2019;R$ 434.697,48;Paranoá e Itapoã;
Cooperdife;;jul/2021 a jun/2022;02/2019;R$ 459.571,80;Sobradinho 1;
Vencendo Obstáculos;;ago/2021 a jul/2022;03/2019;R$ 442.014,84;Cruzeiro Velho e Grandes geradores;
