;;;;Família de material;;;;;;;;;;;;;;Total Geral;;
;Cooperativa;;;Diversos;;;Metal;;;Papel;;;Plástico;;;Vidro;;;;
;Acobraz;;;0,9%;;;2,8%;;;1,2%;;;0,7%;;;0,8%;;;1,1%;
;Ambiente;;;20,4%;;;7,6%;;;19,3%;;;10,6%;;;21,4%;;;15,7%;
;Apcorc;;;17,5%;;;16,9%;;;8,7%;;;20,5%;;;0,5%;;;12,1%;
;Cataguar;;;3,7%;;;8,1%;;;4,9%;;;10,9%;;;0,6%;;;6,4%;
;Construir;;;4,0%;;;5,6%;;;10,9%;;;3,4%;;;3,2%;;;6,5%;
;Coopativa;;;0,0%;;;1,3%;;;2,7%;;;1,6%;;;1,5%;;;2,0%;
;Cooperdife;;;4,2%;;;11,0%;;;3,4%;;;4,0%;;;9,1%;;;5,3%;
;Coopere;;;4,4%;;;3,8%;;;3,4%;;;2,0%;;;2,9%;;;2,9%;
;Cooperlimpo;;;0,0%;;;3,2%;;;1,4%;;;3,1%;;;26,6%;;;6,5%;
;Coopernoes;;;5,1%;;;1,6%;;;3,7%;;;2,0%;;;3,7%;;;3,0%;
;Coorace;;;3,6%;;;2,7%;;;4,2%;;;1,7%;;;4,3%;;;3,2%;
;Cootraempocap;;;1,0%;;;4,6%;;;4,9%;;;6,4%;;;0,5%;;;4,5%;
;Cortrap;;;3,2%;;;2,9%;;;3,2%;;;1,7%;;;3,9%;;;2,8%;
;Plasferro;;;10,6%;;;4,5%;;;6,6%;;;5,3%;;;5,1%;;;5,8%;
;Recicla Brasilia;;;3,0%;;;1,1%;;;3,2%;;;1,2%;;;2,3%;;;2,2%;
;Recicla Mais Brasil;;;2,7%;;;1,3%;;;2,5%;;;1,2%;;;4,7%;;;2,4%;
;Recicle a Vida;;;7,6%;;;9,3%;;;9,2%;;;14,7%;;;3,5%;;;10,0%;
;Renascer;;;0,0%;;;1,3%;;;4,3%;;;1,2%;;;1,0%;;;2,3%;
;Renove;;;8,0%;;;10,4%;;;2,3%;;;7,8%;;;4,5%;;;5,4%;
;Total Geral;;;100%;;;100%;;;100%;;;100%;;;100%;;;100%;
