;IRR SCIA NOVO;;;IRR SAAN;;;CTR 1 e 2;;;SIA - Trecho 17;;
Mês;;Quantidade Mensal;;;Quantidade Mensal;;;Quantidade Mensal;;;Quantidade Mensal;
;;Recebida (Ton);;;Recebida (Ton);;;Recebida (Ton);;;Recebida (Ton);
Janeiro;554,56;;;6,09;;;1.288,28;;;194,61;;
Fevereiro;410,34;;;-;;;1.400,69;;;248,41;;
Março;509,64;;;-;;;1.618,25;;;185,43;;
Abril;527,46;;;-;;;1.488,48;;;136,47;;
Maio;475,56;;;-;;;1.392,27;;;185,68;;
Junho;467,42;;;8,35;;;1.320,68;;;191,24;;
Julho;445,78;;;-;;;1.338,23;;;201,23;;
Agosto;474,38;;;10,84;;;1.321,38;;;208,56;;
Setembro;477,90;;;23,34;;;1.351,80;;;219,58;;
Outubro;556,14;;;26,75;;;1.357,61;;;189,96;;
Novembro;572,05;;;69,52;;;1.405,42;;;230,36;;
Dezembro;588,69;;;97,91;;;1.517,21;;;260,82;;
TOTAL;6.059,92;;;242,80;;;16.800,29;;;2.452,35;;
