;IRR BRAZLÂNDIA;;;;;;IRR PARANOÁ;;;;;
Mês;;Quantidade;;;Quantidade;;;Quantidade;;;Quantidade;
;;Mensal Recebida;;;Mensal de Rejeito;;;Mensal;;;Mensal de;
;;(Ton);;;(Ton);;;Recebida (Ton);;;Rejeito (Ton);
Janeiro;22,49;;;0,59;;;23,92;;;6,15;;
Fevereiro;21,01;;;0,92;;;21,97;;;5,12;;
Março;23,57;;;0,92;;;25,28;;;5,20;;
Abril;21,92;;;0,89;;;23,37;;;4,34;;
Maio;27,86;;;3,23;;;22,11;;;5,19;;
Junho;24,87;;;0,88;;;23,52;;;4,40;;
Julho;21,00;;;0,65;;;23,55;;;3,37;;
Agosto;25,60;;;0,72;;;21,47;;;3,22;;
Setembro;39,01;;;0,38;;;24,82;;;2,00;;
Outubro;43,84;;;0,90;;;23,36;;;4,16;;
Novembro;43,60;;;1,13;;;22,11;;;3,22;;
Dezembro;30,43;;;0,72;;;34,52;;;5,96;;
TOTAL;345,20;;;11,93;;;290,00;;;52,33;;
