;Galpão;;;Peso (Ton);;;Viagens;
CTR 1;;;8.560,08;;;6.503;;
CTR 2;;;8.240,21;;;4.480;;
DL SUL;;;241,53;;;102;;
GALPÃO PRÓPRIO CEILÂNDIA;;;710,36;;;800;;
GALPÃO PRÓPRIO SANTA MARIA;;;435,60;;;514;;
GALPÃO PRÓPRIO SÃO SEBASTIÃO;;;254,22;;;482;;
GALPÃO PRÓPRIO SOBRADINHO;;;1.447,60;;;2.031;;
GALPÃO PRÓPRIO VARJÃO;;;865,09;;;703;;
IRR BRAZLÂNDIA;;;345,20;;;389;;
IRR P SUL;;;6.031,77;;;5.858;;
IRR PARANOÁ;;;290,00;;;504;;
IRR SAAN;;;242,80;;;128;;
IRR SCIA NOVO;;;6.059,92;;;2.833;;
SIA - LINHA DO TREM;;;2.452,35;;;1.646;;
USINA CEILÂNDIA SUL;;;24,80;;;13;;
Total Geral;;;36.201,53;;;26.986;;
