;;,B S A L A O S S E P;,E R U;/ A V IT A R E P O O C;E O Ã Ç A IC O S S A;S A N IS U;;;;o s iP e d la c s iF;;;e d r o d a r e p O;a n iu q á M;;;a t s ir o t o M;;;s o d a g e r r a c n E;;;e t n e v r e S;;;r a ilix u A;la n o ic a r e p O;;la o s s e P;o v it a r t s in im d A;;;o r ie h n e g n E;;;/ s e r o d a t a C;m e g a ir T;;;e d r o d a r e p O;le n ia P;;;r o d a t n e ir O;la n o ic a r e p O;;;e d r a ilix u A;o ã ç n e t u n a M;;;a t s ic ir t e lE;;;r o d a d lo S;;;o c in â c e M;;;e t n e r e G;la n o ic a r e p O;;;e d o c in c é T;o d a ç n a r u g e S;o h la b a r t;;;e t n e t s is s A;o c in c é T;;;e d la c s iF;m e g a s e P;;;/ r o d a v a l/ r o t n iP;/ o r ie r d e P;.x u A / a ig iV;o d a fir a x o m lA;;;o c im íu Q;;;;L A T O T;;
;Operação e;;;;;;;;56;;;16;;;;27;;;0;;;30;;;3;;;2;;;;1;;;0;;;;0;;;;0;;;;3;;;;2;;;1;;;8;;;0;;;;1;;;;;1;;;;1;;;;4;;;;;;0;;;156;;;;
;Manutenção URE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;- Valor Ambiental;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Valor Ambiental -;;;;;;;;0;;;6;;;;0;;;0;;;11;;;3;;;0;;;;1;;;0;;;;3;;;;0;;;;5;;;;2;;;2;;;5;;;0;;;;3;;;;;2;;;;3;;;;0;;;;;;0;;;46;;;;
;Usina L4 Sul;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Valor Ambiental -;;;;;;;;0;;;9;;;;3;;;1;;;28;;;6;;;0;;;;0;;;0;;;;3;;;;0;;;;7;;;;4;;;2;;;5;;;0;;;;2;;;;;0;;;;3;;;;7;;;;;;1;;;81;;;;
;Usina Psul;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;GAE - Operação e;;;;;;;;3;;;14;;;;11;;;5;;;3;;;23;;;6;;;;2;;;0;;;;0;;;;0;;;;1;;;;0;;;0;;;0;;;0;;;;1;;;;;1;;;;3;;;;8;;;;;;0;;;81;;;;
;Manutenção ASB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Hydros -;;;;;;;;0;;;4;;;;0;;;2;;;0;;;4;;;2;;;;0;;;0;;;;0;;;;0;;;;0;;;;0;;;0;;;0;;;1;;;;0;;;;;1;;;;0;;;;0;;;;;;0;;;14;;;;
;Tratamento de;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;chorume ASB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;TOTAL;;;;;;;;;59;;;49;;;;41;;;8;;;72;;;39;;;10;;;;4;;;0;;;;6;;;;0;;;;16;;;;8;;;5;;;18;;;1;;;;7;;;;;5;;;;10;;;;19;;;;;;1;;;378;;;
