;VALORES DAS FONTES;;;;;;;;;;;;;;;;;;;;;;;;
;FONTE;;;100;;;102;;;114;;161;;;183;;;220;;;301;;;TOTAL;
;Janeiro;;R$ 53.318.563,94;;;-;;;R$ 1.000.000,00;;-;;;R$ 212.842,01;;;R$ 354.471,99;;;-;;;;R$ 54.885.877,94;
;Fevereiro;;R$48.261.685,01;;;-;;;R$ 5.983.790,57;;-;;;R$ 111.743,69;;;R$ 233.097,28;;;-;;;;R$ 54.590.316,55;
;Março;;R$ 54.982.522,29;;;-;;;-;;-;;;R$ 90.454,21;;;-;;;-;;;;R$ 55.072.976,50;
;Abril;;R$ 54.236.350,99;;;-;;;R$ 1.467.153,13;;-;;;R$ 210.443,46;;;R$ 279.019,45;;;-;;;;R$ 56.192.967,03;
;Maio;;R$ 36.870.388,93;;;-;;;R$ 19.731.507,18;;R$ 387.430,30;;;R$ 33.909,14;;;R$ 201.155,42;;;-;;;;R$ 57.224.390,97;
;Junho;;R$ 25.103.203,73;;;-;;;R$ 31.477.140,73;;R$ 1.007.573,14;;;R$ 128.355,64;;;R$ 4.468,29;;;-;;;;R$ 57.720.741,53;
;Julho;;R$ 16.000.812,88;;;-;;;R$ 47.342.728,94;;R$ 979.345,91;;;R$ 78.993,59;;;R$ 123.705,89;;;-;;;;R$ 64.525.587,21;
;Agosto;;R$ 40.421.981,61;;;-;;;R$ 23.344.866,88;;R$ 940.803,77;;;R$ 45.484,87;;;R$ 47.125,83;;;-;;;;R$ 64.800.262,96;
;Setembro;;R$ 15.093.884,35;;;R$ 35.358.464,90;;;R$ 3.849.723,24;;R$ 978.090,63;;;R$ 32.724,31;;;R$ 118.860,57;;;R$ 8.137.962,74;;;;R$ 63.569.710,74;
;Outubro;;R$ 11.821.330,37;;;R$ 6.641.534,33;;;R$ 17.856.055,57;;R$ 28.965.915,84;;;R$ 52.376,55;;;R$ 3.817.407,14;;;R$ 9.614.702,57;;;;R$ 78.769.322,37;
;Novembro;;R$ 7.563.051,04;;;-;;;R$ 1.575.224,18;;R$ 7.084.613,52;;;R$ 89.617,51;;;R$ 3.949.774,02;;;R$ 44.457.272,48;;;;R$ 64.719.552,75;
;Dezembro;;R$ 6.106.120,21;;;-;;;R$ 1.431.822,57;;R$ 856.115,52;;;R$ 50.525,03;;;R$ 1.274.719,85;;;R$ 9.157.782,85;;;;R$ 18.877.086,03;
;%;;;53,5%;;;6,0%;;;22,4%;;5,9%;;;0,1%;;;1,5%;;;10,3%;;;100%;
