CONTRATO Nº;EMPRESA;DATA DE ASSINATURA/ INÍCIO DA VIGÊNCIA;OBJETO;;TÉRMINO DA VIGÊNCIA;VALOR (R$);EXECUTORES E SUPLENTES;;
02/2021;GAE CONSTRUÇÃO E COMERCIO;23/02/2021;CONSTRUÇÃO DOS RESERVATÓRIOS DE QUANTIDADE;;23/02/2023;R$ 861.557,41;;EDMUNDO PACHECO GADELHA/ FERNANDA;
;;;E QUALIDADE (RQQ 01 E RQQ 02), LOCALIZADOS NO;;;;;FERREIRA DE SOUSA/ GLAYSON LUIZ ALVERANGA;
;;;ATERRO SANITÁRIO DE BRASÍLIA - ASB, RODOVIA;;;;;CHAMIÇO/ HENRIQUE CAMPOS AMARAL;
;;;DF180, KM 21, BRASÍLIA - DF.;;;;;OLIVEIRA.;
29/2021;PROERG PROJETOS E EMPREENDIMENTOS LTDA;30/12/2021;IMPLANTAÇÃO E MANUTENÇÃO DE BARREIRA;;30/12/2023;R$ 314.025,56;;GUSTAVO PEREIRA DE MENEZES/ CÁSSIO MACIEL;
;;;VEGETAL NA USINA DE TRATAMENTO MECÂNICO-;;;;;LEMOS / PEDRO HENRIQUE FERREIRA CASTRO;
;;;BIOLÓGICO DO P. SU.;;;;;MAGALHÃES;
42/2022;CONSÓRCIOSUSTENTARE-VALOR;07/10/2022;"""PRESTAÇÃO DE SERVIÇO, EM CARÁTER EMERGENCIAL, PARA";;07/10/2023;R$ 27.997.200,00;;ANA SOFIA CAVALCANTI JUCÁ, BRUNO DOS;
;;;;;;;;SANTOS NEVES, JULIANA FRUTUOSO GOMES e;
;;;;;;;;THIAGO BRAGA PINHEIRO;
