CONTRATO Nº;EMPRESA;DATA DE ASSINATURA/ INÍCIO DA VIGÊNCIA;OBJETO;;;TÉRMINO DA VIGÊNCIA;VALOR (R$);EXECUTORES E SUPLENTES
17/2020;NCT INFORMATICA LTDA;04/11/2020;;RENOVAÇÃO DE LICENCIAMENTO DE;;20/10/2023;R$ 352.750,00;LEANDRO HENRIQUE ANTUNES DE CARVALHO ERAFAEL DA SILVA MARCELINO
;;;;FIREWALL FORTINET MODELO 200D COM;;;;
;;;;SUPORTE, MANUTENÇÃO E GARANTIA POR;;;;
;;;;36 (TRINTA E SEIS) MESES,;;;;
01/2021;NIVA TECNOLOGIA;07/04/2021;SISTEMA INTEGRADO DE SEGURANÇA ELETRÔNICA;;;22/03/2024;R$ 1.448.000,00;DANIEL ROCHA ALVES/ THAYANE DAS NEVES SOARES/ RAFAEL DA SILVA MARCELINO
36/2022;TORINO INFORMATICA LTDA;11/07/2022;;FORNECIMENTO DE MICROCOMPUTADORES;;11/07/2023;R$ 1.003.950,00;FABIANO MAGALHÃES SILVA E RAFAEL MARCELINO DA SILVA
;;;;COMPLETOS E DE NOTEBOOKS, BEM COMO;;;;
;;;;MANUTENÇÃO E SUPORTE DURANTE O;;;;
;;;;PERÍODO DE VIGÊNCIA DA GARANTIA DE 60;;;;
;;;;(SESSENTA) MESES;;;;
