CONTRATO Nº;EMPRESA;DATA DE ASSINATURA/ INÍCIO DA VIGÊNCIA;;OBJETO;;;TÉRMINO DA VIGÊNCIA;VALOR (R$);;EXECUTORES E SUPLENTES;
32/2021;INSTITUTO LUCIMAR MALAQUIAS;03/01/2022;;;CONTRATAÇÃO DE ASSOCIAÇÃO DE PESSOAS COM;;03/01/2024;MENSAL: 184.347,52 ANUAL: 2.212.170,24;;LUÍS FERNANDO MONTEIRO BARBOSA E AMANDA GOMES MARTINS;
;;;;;DEFICIÊNCIA FÍSICA, PARA DAR SUPORTE ÀS;;;;;;
;;;;;UNIDADES DA ESTRUTURA DO SLU;;;;;;
12/2019;FUNAP;08/05/2019;;FORNECIMENTO DE MÃO DE OBRA DE REEDUCANTO EM REGIME SEMIABERTO.;;;08/05/2023;;VALOR MENSAL: R$: 16.603,40 VALOR TOTAL: R$: 199.240,80;KEVEN WILLIAM NASCIMENTO DA SILVA E FLÁVIO RODRIGUES DE QUEIROZ MACEDO;
16/2021;FRAL CONSULTORIA LTDA;16/08/2021;;;PRESTAÇÃO DE SERVIÇOS DE ASSESSORIA,;;16/08/2023;VALOR MENSAL: R$ 28.351,94VALOR TOTAL: R$ 340.223,28;;ANDRÉA RODRIGUES DE ALMEIDA, ISABELA LUSTZ PORTELA LIMA, JULIANA FRUTUOSO GOMES, E LEONARDO YAMADA ARANTES;
;;;;;CONSULTORIA, ORIENTAÇÃO E ASSISTÊNCIA;;;;;;
;;;;;OPERACIONAL EM APOIO À FISCALIZAÇÃO DAS;;;;;;
;;;;;ATIVIDADES GERAIS DO ATERRO SANITÁRIO DE;;;;;;
;;;;;BRASÍLIA - ASB, LOCALIZADO NA RODOVIA DF 180,;;;;;;
;;;;;KM 21, BRASÍLIA - DF;;;;;;
02/2022;ITAPITÃ ENGENHARIA EIRELI;30/03/2022;;CONTRATAÇÃO DE UM PROJETO DE SEGURANÇA CONTRA INCÊNDIO E PÂNICO (PSCIP) APROVADO NO CORPO DE BOMBEIROS PARA AS EDIFICAÇÕES DA USINA DE TRATAMENTO MECÂNICO BIOLÓGICO DE CEILÂNDIA;;;30/03/2023;R$ 91.498,38;;CÁSSIO MACIEL LEMOS, GLÓRIA LUSTOSA PIRES, MARCUS VINICIUS DE RESENDE MAIA LEITE, FERNANDA FERREIRA DE SOUSA E PEDRO HENRIQUE FERREIRA CASTRO MAGALHÃES;
31/2021;OH PROJETOS SERVIÇOS DE CONSTRUÇÃO CIVIL EIRELI;01/02/2022;;;REFORMA NO TRANSBORDO DE SOBRADINHO E DO;;01/02/2023;R$ 90.166,02;;ALLYSON SULLYVAN RODRIGUES SILVA/ GLORIA LUSTOSA PIRES/ MARCELO LOPES VIEIRA BEZERRA/ MAYARA JORDANA BARROS OLIVEIRA SANTOS;
;;;;;GAMA E A IMPLANTAÇÃO DAS UNIDADES DE;;;;;;
;;;;;TRANSBORDO DE RESÍDUOS NAS REGIÕES DE;;;;;;
;;;;;BRAZLÂNDIA, ASA SUL E CEILÂNDIA PARA;;;;;;
;;;;;ADEQUAÇÃO À RESOLUÇÃO ADASA Nº 05/2017;;;;;;
