CONTRATO Nº;EMPRESA;;DATA DE;;OBJETO;TÉRMINO DA VIGÊNCIA;VALOR (R$);EXECUTORES E SUPLENTES;;
;;;ASSINATURA/;;;;;;;
;;;INÍCIO DA VIGÊNCIA;;;;;;;
18/2019;VALOR AMBIENTAL LTDA;04/07/2019;;;SERVIÇO DE COLETA URBANA - LOTEI;04/07/2024;R$ 863.499.923,98;;JOSÉ LÚCIO LOPES/ VALDEMIR INÁCIO ATAÍDE/ PAULO;
;;;;;;;;;PEREIRA DIAS/ EGMO MÁRIO LOPES DA SILVA/ JOAQUINA;
;;;;;;;;;FONSECA DA SILVA/ MARIA VITORIA NAVA SILVA DO;
;;;;;;;;;CARMO/ MAYARA JORDANA BARROS OLIVEIRASANTOS/;
;;;;;;;;;DANIEL MARLON RODRIGUES GUEDES/ RANIELLE LINHARIS;
;;;;;;;;;DA SILVA/ ANA CAROLINA PEREIRA DE SOUSA/ CAMILA;
;;;;;;;;;LOPESDOS SANTOS/ GABRIELMIRANDA SERRÃO/LUCICLÉIA;
;;;;;;;;;CASTRO DE OLIVEIRA/ ANGÉLICA CÁSSIA DE ALMEIDA/;
;;;;;;;;;ADRIANO WAMBIER GUSSO/ EFIGÊNIA LUSTOSA NOGUEIRA/;
;;;;;;;;;PEDRO HENRIQUE FERREIRA CASTRO MAGALHÃES;
19/2019;SUSTENTARE SANEAMENTO S/A;05/07/2019;;;SERVIÇO DE COLETA URBANA - LOTEII;05/10/2024;R$ 556.148.576,56;;EVERALDO ANTÔNIO DE ARAÚJO,/ DIVINO ETERNO;
;;;;;;;;;RIBEIRO/ALDEMIR FERREIRA TAVARES/ MARCUS VINICIUS;
;;;;;;;;;DE RESENDE;
;;;;;;;;;MAIA LEITE/ MARCELO LOPES VIEIRA BEZERRA/ EDVALDO;
;;;;;;;;;DE JESUS/ EDSON DE SOUZA OLIVEIRA/ FREDERICO MARX;
;;;;;;;;;OLIVEIRA SILVA/DANIEL MARLON;
;;;;;;;;;RODRIGUES GUEDES/ MURILO DE;
;;;;;;;;;OLIVEIRA CAIXÊTA/ GABRIEL MIRANDA SERRÃO;
54/2018;VALOR AMBIENTAL LTDA;05/09/2019;;;MONITORAMENTO E MANUTENÇÃO DA URE;04/09/2023;R$ 25.300.920,00;;ALLAN ADJUTO CHAVES DE SOUSA, JELINGTON HENRIQUE;
;;;;;;;;;DE AZEVEDO, JOÃO ALVES DA SILVA, VINICIUS DE ABREU;
;;;;;;;;;MENDONÇA E GUSTAVO DE OLIVEIRA COSTA;
24/2019;CONSITA TRATAMENTO DE RESIDUOS S/A;20/09/2019;;;SERVIÇO DE COLETA URBANA - LOTE III;20/09/2024;R$ 677.575.405,48;;IRIS MARIA DOS SANTOS/ ESTER DE SOUZA REIS/ DEUSIMAR;
;;;;;;;;;CARLOS PINTO/CARLOS HENRIQUE SILVA/ADALMY ARAÚJO;
;;;;;;;;;BEZERRA/ RAIMUNDO MACHADO DOS SANTOS/ RÔMULO;
;;;;;;;;;COSTA MELO/THAÍS MATOS RESENDE/RITA DE CÁSSIA;
;;;;;;;;;CARDOSO LEITE/ DANIEL MARLON RODRIGUES GUEDES/;
;;;;;;;;;GABRIEL MIRANDA SERRÃO/ GLEICY KELLEN DOS;
;;;;;;;;;SANTOS FAUSTINO/ TERESA CRISTINA SILVA ALVES/;
;;;;;;;;;LUCICLÉIA CASTRO DE OLIVEIRA/ ADRIANO WAMBIER;
;;;;;;;;;GUSSO/ EFIGÊNIA LUSTOSA NOGUEIRA/PEDRO HENRIQUE;
;;;;;;;;;FERREIRA CASTRO MAGALHÃES;
