CONTRATO Nº;EMPRESA;;;;DATA DE;;OBJETO;;;TÉRMINO DA VIGÊNCIA;VALOR (R$);EXECUTORES E SUPLENTES;;
;;;;;ASSINATURA/;;;;;;;;;
;;;;;INÍCIO DA VIGÊNCIA;;;;;;;;;
07/2018;;COOPERATIVA DE TRABALHO DE;;16/01/2018;;;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;;;31/07/2023;R$ 328.471,20;FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES E ANDRE LUIZ JUNQUEIRA GUIMARÃES;;
;;MATERIAL E DE EDUCAÇÃO;;;;;;;;;;;;
;;AMBIENTAL NOVA ESPERANÇA -;;;;;;;;;;;;
;;COOPERNOES;;;;;;;;;;;;
08/2018;ASSOCIAÇÃO DOS AMBIENTALISTAS DA VILA ESTRUTURAL - AMBIENTE;;;16/01/2018;;;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;;;31/07/2023;R$ 1.824.840,00;;FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS;
;;;;;;;;;;;;;OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES E ANDRE;
;;;;;;;;;;;;;LUIZ JUNQUEIRA GUIMARÃES;
06/2018;COOPERATIVA DE RECICLAGEM AMBIENTAL - PLASFERRO;;;16/01/2018;;;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;;;31/07/2023;R$ 729.936,00;;FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS;
;;;;;;;;;;;;;OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES E ANDRE;
;;;;;;;;;;;;;LUIZ JUNQUEIRA GUIMARÃES;
10/2018;COOPERATIVA OE RECICLAGEM, TRABALHO E PRODUÇÃO - CORTRAP;;;16/01/2018;;;;PRESTAÇÃO DE PROCESSAMENTO;;31/07/2023;R$ 310.222,80;FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES E ANDRE LUIZ JUNQUEIRA GUIMARÃES;;
;;;;;;;;DE RESÍDUOS SÓLIDOS URBANOS;;;;;;
;;;;;;;;NA RECEPÇÃO, TRIAGEM,;;;;;;
;;;;;;;;PRENSAGEM, ENFARDAMENTO,;;;;;;
;;;;;;;;ARMAZENAMENTO E;;;;;;
;;;;;;;;COMERCIALIZAÇÃO NO SIA;;;;;;
;;;;;;;;QUADRA10, CONJUNTO D LOTES 2;;;;;;
;;;;;;;;E 3 - BRASILIA/DF;;;;;;
03/2018;COOPERATIVA AMBIENTAL DA CIDADE ESTRUTURAL - COORACE;;;16/01/2018;;;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;;;31/07/2023;R$ 1.445.273,28;;FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS;
;;;;;;;;;;;;;OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES E ANDRE;
;;;;;;;;;;;;;LUIZ JUNQUEIRA GUIMARÃES;
12/2018;;COOPERATIVA DE TRABALHO DE;;16/01/2018;;;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;;;31/07/2023;R$ 729.936,00;;FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS;
;;RECICLAGEM AMBIENTAL -;;;;;;;;;;;OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES E ANDRE;
;;CONSTRUIR;;;;;;;;;;;LUIZ JUNQUEIRA GUIMARÃES;
11/2018;COOPERE - COOPERATIVA DE TRABALHADORES CATADORES MATERIAIS RECICLÁVEIS E REUTILIZÁVEIS AMBIENTAL;;;17/01/2018;;;;PRESTAÇÃO DE PROCESSAMENTO;;31/07/2023;R$ 410.589,00;FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES E ANDRE LUIZ JUNQUEIRA GUIMARÃES;;
;;;;;;;;DE RESÍDUOS SÓLIDOS URBANOS;;;;;;
;;;;;;;;NA RECEPÇÃO, TRIAGEM,;;;;;;
;;;;;;;;PRENSAGEM, ENFARDAMENTO,;;;;;;
;;;;;;;;ARMAZENAMENTO E;;;;;;
;;;;;;;;COMERCIALIZAÇÃO NO SIATRECHO;;;;;;
;;;;;;;;17, LOTE 1400 - BRASÍLIA/DF;;;;;;
09/2018;COOPERLIMPO DE CATADORES BRASIL;;;31/01/2018;;;;PRESTAÇÃO DE PROCESSAMENTO;;31/07/2023;R$ 893.160,00;FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES E ANDRE LUIZ JUNQUEIRA GUIMARÃES;;
;;;;;;;;DE RESÍDUOS SÓLIDOS URBANOS;;;;;;
;;;;;;;;NA RECEPÇÃO, TRIAGEM,;;;;;;
;;;;;;;;PRENSAGEM, ENFARDAMENTO,;;;;;;
;;;;;;;;ARMAZENAMENTO E;;;;;;
;;;;;;;;COMERCIALIZAÇÃO NO SAAN Q, 02;;;;;;
;;;;;;;;LOTES 630 A 680 - BRASÍLIA/DF;;;;;;
