;;;;JAN;;;FEV;;;MAR;;;ABR;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;;DEZ;;;Total;;;Média;
;PEV Águas Claras;;121,930;;;109,760;;;101,520;;;212,850;;;235,750;;182,050;;;162,800;;;143,390;;;103,520;;;124,050;;;105,670;;;23,840;;;1627,13;;;135,59;;
;PEV Asa Sul;;97,200;;;97,900;;;112,170;;;89,700;;;119,590;;123,810;;;123,420;;;132,670;;;152,130;;;86,050;;;102,810;;;40,930;;;1278,38;;;106,53;;
;PEV Brazlândia 1;;18,710;;;14,700;;;16,360;;;32,200;;;41,270;;41,640;;;23,260;;;24,760;;;27,080;;;29,430;;;24,610;;;3,820;;;297,84;;;24,82;;
;PEV Brazlândia 2;;15,600;;;36,520;;;22,430;;;9,200;;;24,140;;0,000;;;0,000;;;0,000;;;0,000;;;0,000;;;0,000;;;0,000;;;107,89;;;8,99;;
;PEV Ceilândia 1;;174,710;;;68,060;;;0,000;;;5,300;;;45,480;;164,060;;;98,450;;;265,490;;;100,880;;;41,080;;;143,150;;;12,190;;;1118,85;;;93,24;;
;PEV Ceilândia 2;;212,660;;;302,880;;;380,530;;;507,650;;;449,200;;341,750;;;420,510;;;255,390;;;311,390;;;388,570;;;214,940;;;43,420;;;3828,89;;;319,07;;
;PEV Gama;;200,490;;;181,950;;;187,750;;;201,010;;;178,650;;185,610;;;208,300;;;229,350;;;194,710;;;226,570;;;247,330;;;43,780;;;2285,50;;;190,46;;
;PEV Guará 1;;232,630;;;283,400;;;320,880;;;206,900;;;171,760;;220,080;;;298,320;;;293,780;;;218,060;;;198,800;;;227,100;;;39,140;;;2710,85;;;225,90;;
;PEV Guará 2;;-;;;-;;;-;;;-;;;-;;-;;;14,090;;;49,870;;;141,990;;;87,730;;;89,150;;;25,750;;;408,58;;;68,10;;
;PEV Planaltina;;143,400;;;100,030;;;112,950;;;124,750;;;241,890;;141,140;;;140,100;;;168,870;;;156,080;;;122,960;;;78,100;;;22,800;;;1553,07;;;129,42;;
;PEV Pôr do sol;;73,910;;;56,210;;;100,810;;;93,330;;;102,750;;84,950;;;88,360;;;72,920;;;108,710;;;112,190;;;149,050;;;3,720;;;1046,91;;;87,24;;
;PEV Rec. Das Emas;;-;;;-;;;-;;;-;;;-;;9,170;;;30,740;;;59,880;;;73,850;;;86,160;;;64,040;;;0,000;;;323,84;;;46,26;;
;PEV Santa Maria;;60,310;;;66,140;;;96,210;;;94,730;;;99,770;;96,860;;;89,210;;;93,480;;;93,150;;;109,190;;;76,110;;;26,270;;;1001,43;;;83,45;;
;PEV Taguatinga;;268,180;;;261,890;;;316,350;;;202,920;;;165,260;;308,670;;;378,560;;;342,180;;;290,120;;;244,160;;;271,400;;;67,100;;;3116,79;;;259,73;;
;Total;;;1.619,73;;;1.579,44;;;1.767,96;;;1.780,54;;1.875,51;;;1.899,79;;;2.076,12;;;2.132,03;;;1.971,67;;;1.856,94;;;1.793,46;;;352,76;;;20.705,95;;;1.778,82;
