;;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;;DEZ;;;Total;;;Média;
;PEV Águas Claras;;19,640;;;18,440;;;10,120;;;16,260;;;24,690;;;14,280;;;10,390;;;15,750;;;0,000;;;8,810;;;9,290;;;2,810;;;150,48;;;12,54;;
;PEV Asa Sul;;16,810;;;15,010;;;18,310;;;15,340;;;17,440;;;11,310;;;17,230;;;19,750;;;18,960;;;8,860;;;12,570;;;3,470;;;175,060;;;14,588;;
;PEV Brazlândia 1;;1,920;;;5,520;;;1,730;;;2,750;;;2,890;;;3,830;;;3,250;;;3,970;;;8,410;;;1,150;;;0,000;;;0,000;;;35,42;;;2,95;;
;PEV Brazlândia 2;;1,210;;;1,330;;;1,200;;;2,290;;;0,000;;;0,000;;;0,000;;;0,000;;;0,000;;;0,000;;;0,000;;;0,000;;;6,030;;;0,503;;
;PEV Ceilândia 1;;28,930;;;13,120;;;7,080;;;12,140;;;8,290;;;2,510;;;5,170;;;5,890;;;9,380;;;24,160;;;25,904;;;3,670;;;146,24;;;12,19;;
;PEV Ceilândia 2;;21,580;;;30,840;;;30,950;;;20,430;;;23,860;;;19,000;;;13,490;;;18,470;;;11,670;;;15,710;;;14,830;;;0,000;;;220,830;;;18,403;;
;PEV Gama;;30,730;;;16,570;;;21,790;;;18,300;;;21,830;;;15,110;;;9,520;;;18,560;;;14,570;;;25,040;;;17,020;;;5,260;;;214,30;;;17,86;;
;PEV Guará 1;;26,140;;;27,970;;;32,270;;;30,120;;;7,860;;;17,150;;;21,530;;;29,510;;;12,070;;;17,280;;;16,950;;;5,710;;;244,560;;;20,380;;
;PEV Guará 2;;-;;;-;;;-;;;-;;;-;;;-;;;6,650;;;0,000;;;20,780;;;9,940;;;10,010;;;3,110;;;50,490;;;8,415;;
;PEV Planaltina;;12,440;;;12,230;;;36,580;;;7,860;;;7,190;;;5,630;;;7,710;;;6,360;;;6,970;;;6,500;;;10,130;;;0,000;;;119,60;;;9,97;;
;PEV Pôr do sol;;5,840;;;7,140;;;9,390;;;9,680;;;11,440;;;8,200;;;9,470;;;7,010;;;9,960;;;6,210;;;7,500;;;2,150;;;93,990;;;7,833;;
;PEV Rec. Das Emas;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;2,960;;;1,590;;;1,450;;;9,380;;;0,000;;;15,38;;;1,28;;
;PEV Santa Maria;;8,000;;;8,070;;;11,300;;;6,580;;;16,130;;;13,080;;;4,050;;;12,470;;;6,480;;;3,840;;;9,130;;;0,000;;;99,130;;;8,261;;
;PEV Taguatinga;;25,560;;;23,490;;;26,130;;;21,130;;;1,740;;;21,630;;;29,110;;;23,380;;;23,000;;;17,180;;;27,590;;;4,690;;;244,63;;;20,39;;
;Total;;;198,80;;;179,73;;;206,85;;;162,88;;;143,36;;;131,73;;;137,57;;;164,08;;;143,84;;;146,13;;;170,30;;;30,87;;;1.816,14;;;155,55;
